month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,8.647603908743774,5.785943356929398,1.3093091503973275,1.58073728391213,3.583981529514096,5.7513853051188235,6.146757131754509,6.880685132274787,8.224169788854562,9.341959117227137,9.841204648009693,9.962095566434034,11.642964530045388,17.082311425275417,21.28257865231028
2,18.0,9.328622664616372,4.229559562081162,1.8912416645000063,4.538767255753126,5.966397638138309,6.336249921433636,6.6774903993634425,7.824687551700373,10.078457486174248,11.396606250181657,11.77634705960998,11.810745704643193,12.440986538355077,13.344384554613956,18.10005255499432
3,18.0,8.49813507053541,3.702839192226055,3.136568122968594,4.273273738138212,5.301078199241246,6.282529773860132,6.795915348447526,7.240517927404603,7.681927210052727,9.533519717653212,10.171627634435767,10.391487491498845,11.031279147756159,12.836389269433818,15.817751721894293
4,18.0,7.4784567143995355,3.4776607735204386,1.5079024865379733,3.564886002442135,4.660616718489241,5.843053035147033,6.1725029196877195,6.565908196185906,7.564902041662206,8.358433894733903,8.540371116881161,8.590854860870845,9.7337718680011,11.210539806600213,15.305399092087816
5,18.0,4.279160325976478,2.418086804906007,0.7508963955487404,1.0269522666512945,2.3138993779261896,2.9195487919800267,3.105836584237679,3.5653033433386643,4.075409832006352,4.84984624102749,5.068975235704254,5.4433070372261305,6.126406330499,7.529074662972921,9.134302521183152
6,18.0,4.501206937134794,3.7057801270479627,0.6539513004847015,1.295725681171883,1.548624865170162,1.755898970513339,1.8176418997013448,2.4725407519518887,3.178366446683558,3.6822971801908055,4.635229672014949,5.549287115063699,8.070503971980713,10.974785703860059,11.198143684908517
7,18.0,2.5513979784726244,1.6014625685188306,0.6039880877826738,1.0413270467292,1.0794569530877642,1.3982141481131214,1.4194930609886387,1.669389544791564,2.198268127081059,2.675305813253173,3.1379078989538627,3.31371234277041,3.5451691176568345,5.227532317103326,5.61970114904056
8,18.0,2.901382915702457,2.49933060533108,0.4690330831103596,0.7653123692279665,1.0826653391297725,1.5438733761823105,1.5878703248572172,1.9722684794974463,2.2806149066606336,2.517306238806001,2.808465062215583,3.1609724825933823,3.664117053663059,6.078781095686013,10.232533028369522
9,18.0,3.9273519851416006,2.95405110470953,0.5109882956429578,0.941292596390474,1.2909358490424476,2.1699376502558314,2.370461797558321,2.8018065878567264,3.3874176977639374,4.1946668289297415,4.4694779593538785,4.485902847652953,5.1596298186532845,8.487276253312807,10.863509090821156
10,18.0,5.4230896681676075,3.1093975081287324,1.7753899641768618,2.341813303585456,2.7478962331232037,3.133479171754222,3.6703772498396643,4.03831041294512,4.440923221841552,5.1918013383863295,6.193802464703609,6.836439744553055,7.803939473619674,10.427520800345802,11.315114090481575
11,18.0,5.673181749607893,3.5325591636549976,1.2939816071506034,1.6624241253331533,2.5872170612401035,3.5766754654639787,3.6512193874509844,3.748791586812329,4.023326379548497,6.447841519028817,7.222500909238449,7.900762917245125,9.407257674425814,10.44115371984088,11.733385075722936
12,18.0,7.699319538249238,2.837054925484064,3.821895063522747,5.022104537054789,5.389547708532326,5.69823354402709,5.898755282017987,6.637932115354172,7.318259800822886,7.829862795156279,8.755066403134427,8.824339012723804,9.542885986161838,10.388712403295365,15.280548674947363
