month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,6.237951175703555,6.005441671493104,0.27495840624037987,0.7246851003539402,0.921056193821574,1.8668366263952554,1.9499865699810748,2.070838599635493,2.86608583903732,5.352567718140138,9.932151979490556,11.410713948045279,13.231255013923764,14.302077192381947,16.251099828562126
2,18.0,5.241531821605132,5.350719901437597,0.07996377641786352,0.294658520508386,0.5667767179675739,1.2838479769995932,1.749704223155389,2.8278516809030827,3.4359009107068985,4.2974371509812075,6.1005436976226495,8.041854556987705,9.172148923718863,11.815067095717938,18.223250818148994
3,18.0,6.299668313832117,5.6185156263210905,0.28006779042472474,0.7076204795856852,1.180862807385413,1.5689759810299082,1.6089078932613123,3.4807592221456933,4.540095294369413,6.70579561328488,8.06221570498162,9.754359173714017,11.953296027276638,13.658953235283692,17.55857686227464
4,18.0,5.301312875967187,4.170523492778017,0.6194859578085875,1.5494910016938044,2.334312064730428,2.6829778811682847,2.705863774836424,2.7517261497552354,3.4487153863170903,5.04921161516059,5.64991899821028,5.680580797320028,9.159541893917073,11.439645358226374,14.909935481010232
5,18.0,3.4746381031349416,2.6795862547197653,1.0110515072464605,1.5019053037811585,1.936325640799365,2.0266111861993736,2.0825260318640897,2.7188971574276968,3.093575461667484,3.294484798845429,3.333081213576709,3.344754510457625,4.06707659287641,4.946200705672774,12.993639677866064
6,18.0,4.804699933152567,3.7927854843879856,0.6707698269419602,1.5607610448831228,1.8383694020531522,2.447363753567554,2.4871715329433948,2.8999200561466614,3.411788401959963,4.477644449753935,5.639561387919138,6.208770665067024,6.698111838545705,9.814773960169136,15.006687602175772
7,18.0,4.055984349093148,2.5226095557790376,1.0969340698556638,1.1854962736464585,1.6347539565016824,2.434784520233403,2.951799934460728,3.466530890502028,3.6581654640847088,4.033305177854982,5.243146930649726,5.416220364596949,5.970489136893267,6.270890501105401,10.791129826785916
8,18.0,4.534507284999929,4.628966637564187,1.0411533981132475,1.360472874424783,1.6830099962519496,1.9186404985887795,1.928682119249228,1.9437120805229329,3.104131219685395,4.128137091180909,4.628594381371496,4.8392070382701275,6.231061229774637,7.611860958835887,20.44397095600598
9,18.0,4.235061503679252,3.725882941506985,0.4627817972577443,1.1084493847683041,1.1960183585485402,1.6954141177010436,1.9470505592098832,2.356436304878007,2.5622343008480573,4.984691022968876,5.128472807718901,5.296215490660595,6.164058640384991,8.424814058153615,13.419885321800194
10,18.0,3.9409809530242845,4.4809910648624225,0.34109495955447533,0.47578263227567597,0.7447522826255062,0.8142486546559692,0.8426077849824428,0.8738216736529354,1.9578420650719037,2.542264028009845,3.9036055845254056,6.191722775167144,7.285579521796082,9.387458380506288,15.29036224687793
11,18.0,3.8682810591574244,4.2497918072393785,0.14724494235661725,0.42057133173465117,0.9332021822054832,1.6271871826792719,1.6544824252944803,1.7656839941723999,2.482584595556685,3.509633703986857,4.104950192599247,4.4557542623907676,5.603294584906475,7.686181667244863,17.475723782029274
12,18.0,7.6090053955671415,6.952249499172589,0.3645679792661258,0.8498925937265193,2.0117031950540243,2.973916632404397,2.9939040649179116,3.194998934273324,5.330691903251745,7.901861772270758,10.159702880347783,10.466598436799327,12.12206590176513,16.22246619022024,25.176662352671983
