month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,3.1346279284575806,1.3278496872254848,0.9930243063280898,1.5495344139989626,1.9803448660342773,2.403065706344516,2.4130131284267637,2.715134513658229,2.8834131973881445,3.5528471478470274,3.7622424044875427,3.8437262877782317,4.378474322774447,4.824349171308928,5.64533457095275
2,18.0,3.5919853123861367,1.8096990422919954,1.308639577084756,1.7691354197182867,2.3518833055607287,2.6818346521540826,2.802401677753994,2.924185242019237,3.106051854490207,3.3129280109819894,3.74202211407119,3.9841569850301846,4.689005365449165,5.785758581610927,8.340368014196232
3,18.0,4.056504232669908,2.6313165987939113,0.43694903790777573,1.8119701569087,2.128503998379272,2.606059836672604,2.628557292643842,2.6511422166051917,3.0289798906981344,4.545366316232111,4.948688800094614,5.000432062120057,5.7098264243465415,6.566520817064259,11.337847297897989
4,18.0,5.303539699713536,3.270767928165666,0.9782673860120437,2.1905817547590094,2.9988779012277176,3.2742602861860597,3.2981435942132267,3.328735270731106,3.5925045021520274,5.004673465390202,6.753877642555262,7.62684502990255,8.361149754965377,9.52589424891993,12.41859716520825
5,18.0,5.646354535802281,2.6668169367817423,2.2876893058474304,3.0586725147841984,3.384364370909995,3.9215663471052116,4.005125484977869,4.094298451321946,4.431896048872697,5.4556013862629005,6.791407499938806,7.579055375123056,8.104590133046452,9.439409295581239,10.517397938409463
6,18.0,5.998453879454961,2.025756747576488,1.6250383693761643,3.983151038575484,4.866207999305438,5.2400788801210245,5.272051185579681,5.313848052252861,5.559436945414143,5.8578698255472545,6.614502483833302,7.3946057370164,7.957283864884275,8.390357813354195,9.790017301177587
7,18.0,7.71980020070885,2.4212795048251587,3.831845574367889,4.673510489111922,5.563941201493602,6.884904897099691,7.0011540798941105,7.1498143938537,7.6643373169865505,8.009451581284345,8.282559083897167,8.548493245631395,9.27187273645397,11.052797285112511,12.437758349691931
8,18.0,8.007574255390695,3.107936989933906,4.53680165960897,5.5047407568442654,5.721136513854271,5.897669114695487,5.898610914552794,6.32539702989698,7.038757112471011,7.965762857853555,8.048013737370292,8.077470016911416,9.420318463982685,14.063379658822122,14.130369861288564
9,18.0,9.209099488548027,2.2309760020311584,5.598219334887409,6.777447455416674,7.430122476943007,8.060838389628767,8.138429957824997,8.357480983186772,8.913949266641877,9.404214285662531,9.948084333591106,10.124778383822417,11.219162075173578,11.888074891395373,13.7318587831455
10,18.0,9.42356461239084,1.703650379923908,6.273258150449495,7.065728389327659,8.125417580267225,8.693246754714785,8.815133763494599,9.173750271538665,9.912047085555006,10.028948033338606,10.130184691898368,10.146780415018833,10.251514183227705,11.555917667848426,12.444691651109354
11,18.0,7.493065881643608,2.141294812881706,3.6514643635014314,5.260622554454126,5.956580033284901,6.242149596913544,6.559227973866584,6.946088797664803,7.279319862697431,7.987155536051194,8.249808329797713,8.27188329164828,9.41462642385784,9.837089355173077,12.038339369760624
12,18.0,5.044998736326842,1.8494111093435994,2.0983642543358765,2.7079197302225246,3.276897916570105,3.8249185943718063,4.037983104517183,4.7301065267459155,5.522164025718062,5.849577951582301,5.947440301419143,5.9789079941513075,6.120521097905527,7.165188001567953,8.306612410722888
