month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,12.432448409133055,5.813553284259843,3.1309406177182995,5.9973760324708465,6.961398097569188,9.730120918793588,9.863676690559661,10.277251894699349,12.197337325002888,13.91811127096151,15.056035876055017,15.917390727718306,16.881518485670625,17.270469678762012,27.304053312619622
2,18.0,10.240020535017452,8.85243135408727,2.2066555700499975,2.7549482222287756,3.988200702015333,5.162954440337698,5.217537473562641,5.7166080845000735,7.070100697473132,9.40445469144677,9.592860762169718,9.780145454785252,16.491073495852334,20.293932548467684,36.31978857096394
3,18.0,8.051081104471834,4.856032554273823,2.8230577701942243,4.244267437010007,4.871869478167622,5.306346335221627,5.436662047313771,5.700298393061381,6.706801255588738,7.444795986648641,7.730747295007784,8.156354561843319,10.00980988315477,14.662218112676413,21.897983181647685
4,18.0,5.246907927167799,3.0118614301262197,1.3882169838755472,2.324530830414458,3.157758478908386,3.684440963306162,3.6905741619252517,3.760631841596404,4.161951110045411,4.7651751288114665,5.2641134670775935,5.40754892558841,8.285451954539306,9.335963314031872,12.117629725259025
5,18.0,5.519936895681881,2.7114488045794736,1.9241061510620983,2.262519246935979,3.207813477854004,3.5468572058483976,3.8789128857864767,4.370859808934172,5.540415269234982,5.977316754818289,6.603467640369649,6.688472110653644,7.5183387978063365,8.577425512160659,12.055713312849411
6,18.0,4.0641256647715585,2.3343529418882043,0.872764833476548,1.8734471869221065,2.3750277745216826,2.759669652842281,2.8304295099639525,3.268507160282682,3.5662334158661952,3.7313762767000824,4.329257782927009,5.308004454912477,5.686160727280468,6.452348289349354,10.459602086420286
7,18.0,4.083641110548864,2.837948341630263,0.4474612468965805,1.1364107403342274,1.4328424208006942,1.9557786564619595,2.055624597002577,2.197849711422576,3.895801927444796,4.251686845139778,5.110742514662576,6.229983985189672,6.8007182165295665,7.504646198239424,9.474674652550393
8,18.0,3.524613919323735,1.954673332809698,1.05286955716556,1.498492631134948,2.127053173268603,2.390619270740512,2.413315962051062,2.9208381116055997,3.2989989489654894,3.6282828145737303,3.94200365393317,4.012079441987883,4.535909969072878,5.3910454871329705,9.27827957425947
9,18.0,3.276445469877452,2.296634932448585,0.3042958101909212,1.0235147031134417,1.3827628676980621,1.5578254600462915,1.7798841018116471,2.2843851997946985,2.8099404151073992,3.4679657220208733,3.691407840131848,3.845936398289679,4.966849660963631,6.465186861439528,8.780613173110558
10,18.0,6.112367066500614,3.5656097517582,1.3650970585146855,1.6774932659259916,2.99797721693224,3.397961123309972,3.442154811049374,3.596084685627924,6.480802655897952,7.010188946423,7.732869703040487,8.777715938160503,9.68008702249986,10.326071574033536,12.517536139586246
11,18.0,7.74744356604253,3.7946910379584144,1.4244046197719418,3.011960091598872,4.762105989147273,5.467009966167683,5.617984511056485,5.953147058335401,7.755581650779499,8.89284612636379,9.059353686282686,9.357568512004393,11.787617503992998,12.687294031676561,13.75032075332726
12,18.0,9.587156406769655,4.987256284608736,2.9471407582698115,4.449840221228703,4.989420884367421,5.431989979374687,5.887836006071214,6.524042659675024,8.59147269297907,10.79825301976981,11.95797381140703,13.375431653454704,14.499315029020128,16.125586179538203,18.771893571596816
