month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,5.715320947011915,5.577202241495598,0.6030471820091698,1.2660082456506245,1.9554331566593381,2.6481805450260834,2.6777359919506147,2.714709691811045,3.4043940745945704,4.74661031720874,5.630821677620828,5.806283459613958,7.465291295419124,15.328024815629167,19.571137285537795
2,18.0,5.781213651655765,5.465797072034315,0.6364161863922021,0.8563615499811215,1.1391418679979628,2.139810035508397,2.3559467104855383,2.653756002671732,3.676601578447503,4.626479248592439,6.468358956968159,9.085791228086649,10.302357067938967,12.446126838009926,18.153867349831373
3,18.0,5.20537388212943,3.3282209394307456,0.5269027968215337,1.470636753325209,1.78179287456614,2.5124384770095096,2.674433908991418,3.219723881517394,4.840686606168873,7.296958161417157,7.533570620174052,7.579404692466273,8.582201218029338,9.264859512766899,10.246842270919238
4,18.0,5.373118135220866,2.659364905164191,1.3027890113301648,1.9966684953562779,3.245583198564216,3.518646220977993,3.5502964133286574,4.39008016349613,5.060471515360787,6.121845731720116,6.585637198382523,6.739010947622561,8.198709954947649,8.927127367923283,9.526795240672984
5,18.0,4.822002720568151,2.739662510608778,0.3077519397554576,1.6281623592472754,2.453275686795662,3.1017497149213713,3.7694823238121375,4.312069747838183,4.915114430548547,5.302040403806169,5.6730307648871765,5.877875867470163,7.182042700921938,8.037129106752525,10.517274221683333
6,18.0,3.8825619945032606,2.3721785629406185,1.134126177479696,1.7596784016095997,2.0351929575389622,2.2536610460527284,2.2907271753564413,3.1187886042984267,3.373510156287656,3.550296371941979,3.8832982412054644,3.9968164291008472,5.143918763784638,7.510589464472416,9.668790563497735
7,18.0,3.2557135989690864,1.942624797951893,0.49505064515065117,0.842657210710138,1.3696144298533173,1.975926389213993,2.0715033559074567,2.657165520888168,3.6858736191656787,3.839607957687566,3.9621752599462923,4.140402130566238,4.3602913988458365,5.594641986903856,6.996370286061369
8,18.0,4.594143948492124,2.5440683120053427,1.106918507906822,1.6910517438182218,2.6472872622975268,3.0386759723809904,3.1602729439928163,3.3707301175736717,3.978063225646625,5.115586878607605,5.307337716711489,5.470748326348946,6.842821147319823,8.291641318871779,9.45714037894836
9,18.0,3.6501509312518903,3.4004085890164144,0.08593744661060497,0.31540372214449475,0.663141897181067,0.8923226355684886,1.1367233490002533,1.7847494412036993,2.863628689988615,3.8448620718721918,5.399998160783337,5.601899661526403,5.72896480040747,7.690213074547266,11.927085380437806
10,18.0,4.942098922765936,3.294270991674529,0.5273152714642868,0.7463538125304632,1.855796030960857,3.1858971526280127,3.2679839159327058,3.6222872336844283,4.772822810816168,5.470815727721063,6.228943903428936,6.752901789872041,7.4372317661938245,9.69114041109491,11.01431821095453
11,18.0,4.885183443736889,4.240741908024895,0.3052775558621869,1.8857712287653579,2.2705027064238363,2.4579031625764225,2.5326341270528525,2.7899441885152934,2.9254965133079684,4.3380305996504775,6.1485505542800185,6.449193488934989,7.465039584310009,7.958865770370423,18.675951084604915
12,18.0,4.836921425648882,2.841592318077078,0.10644977342917958,1.2209620143230935,2.48851265117786,3.2511817529765814,3.9071073822641376,4.508340715365088,4.579354141368206,5.751709955171767,5.962112899669072,6.048455757506067,6.5789312201487835,8.020740523619134,10.94792163628484
