month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,8.54681674863293,5.597995345896205,1.2694526955107506,1.872995854248857,2.92174814241311,4.193204730541299,4.556749227275413,7.11655681411804,7.982701388313879,9.8822181216868,11.390580047223317,11.498589860535448,12.859073962456385,17.063713515247052,17.93384071891542
2,18.0,9.342426936296654,6.179771695398276,0.7316678560538847,2.914406849769429,5.1140826590873845,6.538494026955177,6.873101820897764,8.125826627527537,8.474435060303058,8.722716517718581,9.144905739906605,9.168093225212754,14.032715767257613,18.04370911429466,23.21501216087851
3,18.0,8.162866627261,2.9925397227700175,1.1844384370885073,4.515160843413477,6.5538725618889515,6.757614809941546,6.920836087605723,7.264501134999616,8.92682688675238,9.335733077670985,9.522904115292551,9.661836515003532,9.955660037217738,11.334280215360218,13.788902352943788
4,18.0,8.235978144050206,4.639526805926763,2.1165928826216116,3.413846809565524,4.028595908884208,4.292294318641717,5.003766034980888,6.565869231562942,7.944697706467238,9.44683388401355,10.234397181410984,10.733067802361129,11.868625582730349,12.466117032419344,19.97050552719476
5,18.0,5.699879017280211,2.658461017657914,1.9308499662933933,2.118859671097246,3.587770066054871,4.1598756901137905,4.38700066979622,4.682529239044325,5.494252280208938,6.376363077573881,6.520331275805971,6.6533274875207935,7.99988287702901,9.075431666554117,10.931074252093072
6,18.0,4.850926958133557,3.7107751105784965,0.65129081285478,1.2241381269011244,1.5484746792413588,2.4440118344428683,2.8497592603975836,3.4205291088324703,3.930528879817347,4.315639078312447,5.121340294015495,5.845235210922281,7.957086172229541,9.559060336219112,13.692122133114728
7,18.0,3.0266828541372632,2.4157030273887057,0.5239006753750769,1.2790695149422096,1.430110366285106,1.7220821216329363,1.7387794723702161,1.7943779748681323,2.141413994998946,2.533664100126847,3.238745603846522,3.6205844754905256,4.097256263296492,5.2737261327104825,10.745505774255474
8,18.0,3.3176343120391727,1.9323971417759367,0.904337687757093,1.4101361592061958,1.5350479015507217,1.9167152506295746,2.044202222596426,2.456184024631547,3.0767240752634066,3.401744067998157,3.6470677109086527,3.7732132855828184,4.982573484131785,6.0706037581283105,7.569212441692279
9,18.0,5.111959044681975,3.0770194241337543,1.0397290813269977,1.8093097877396116,2.2795195219840245,3.1422595190366835,3.2579777336356344,3.3596831578260575,4.61382388707637,6.051455301771292,6.341752317997187,6.364849471720759,6.916553414334421,9.70508244436158,11.146681214329606
10,18.0,4.902977738888024,3.327407766106928,0.644610777937567,1.2909143178140616,2.0130195378777045,2.860677241191577,2.9643498505760535,3.223133410785193,4.844298471989003,5.271643174176731,5.659489653614962,6.095919659073875,7.321847920185258,8.52545382583353,13.41373776588402
11,18.0,6.425775621570866,3.1259474782774666,2.8122883417503592,3.3579190292791017,3.4413924540312366,3.8186977371130335,4.482757224401745,5.012709996486285,5.5854704387920275,6.02963121693347,7.0762287536575945,7.930768357288324,9.846318778487502,11.15874377031049,11.818625950205732
12,18.0,7.371981067600577,3.7563033636667043,0.9244368228902632,2.6347196946578952,4.90897978441179,5.780164492675187,5.787893530675174,6.641452665059656,7.821658390345057,7.890429926839231,7.996297153893078,8.14023977639747,9.415795351090605,11.274857603374922,16.632726102396514
