month,day,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,1,17.0,1324.9107553996919,394.71347231616454,740.3299998154995,885.9060292669865,1116.8646432016183,1256.0127890069787,1265.2991953601236,1287.7901524601812,1307.4242403389976,1335.9297740155976,1365.6949398390248,1381.7923132267401,1421.255998009412,1570.7178502147992,2510.107301705601
1,2,17.0,1323.055223623045,395.43957214826446,758.0192263757688,896.2075695128788,1074.5886051276184,1242.0422898289787,1266.0811910132409,1287.432531351887,1303.6327019289974,1333.8633127155974,1378.1324289988647,1400.28035129914,1415.0354202098117,1573.0012725707993,2517.066532765601
1,3,17.0,1326.3892391388094,397.2398629049931,758.4898033757687,885.0030328528787,1059.9452209212182,1237.9504435425788,1266.534695318841,1296.409761311887,1303.4373173389974,1371.601963920659,1407.8422672587512,1410.6704714989278,1423.994615022686,1567.4116180067995,2519.180955895601
1,4,17.0,1328.1623612571213,397.2545451591403,753.3728801447687,887.9260720328788,1080.5862194412182,1238.0914435265786,1265.5297438947634,1295.6648804621811,1306.0642403589975,1370.995086716779,1409.2199816406087,1411.0658078827678,1422.8704201794872,1567.2665051601184,2525.1555708956007
1,5,17.0,1328.5192051168272,402.5558034612938,718.7801901447688,888.4940332608787,1075.497604401218,1236.6212894865787,1265.7123977233234,1296.4940727241813,1310.1309716589976,1365.899153047198,1406.7436637280202,1410.807317756928,1440.8848460046859,1584.68892679718,2533.3109568956006
1,6,17.0,1331.628175565474,403.96732152191083,716.6913441147688,886.7648025912788,1077.1364890252182,1255.4021750705788,1277.6570630241235,1292.002621849661,1309.3511565449976,1368.9676446377186,1414.49843296256,1419.8168430968117,1444.5642343956579,1588.5923114491802,2535.5598030956007
1,7,17.0,1333.181309063167,404.6458069142551,717.8840364147687,887.9409179312788,1068.581296263218,1256.4392906285786,1278.7699215841235,1290.8617756779688,1316.8546177949975,1376.1297216377188,1410.30925125584,1417.7665736968117,1443.808426651658,1592.5027733051802,2533.621149295601
1,8,17.0,1335.669894589831,405.6280928126869,717.9048056447688,889.2938411642788,1063.691565783218,1252.5677281083954,1279.9106123095646,1289.4932648890262,1324.4363485049976,1383.5750671537187,1411.6717695148802,1418.097958176812,1464.8353484116583,1600.39661604358,2527.921918715601
1,9,17.0,1341.8945218471663,400.84119983165823,692.4801912447688,899.3939563826789,1068.813181623218,1250.7344198683954,1278.6321595159648,1293.7304188890264,1336.4019262739976,1401.457068103719,1411.2536618559202,1417.716919741152,1474.6932261744798,1635.9835820171188,2477.725771789601
1,10,17.0,1339.3064004998903,401.1490953328359,693.0861524447688,907.538533933079,1062.618221361618,1207.0791402389787,1247.6931741718033,1288.656584534889,1347.1978893739977,1403.9691449397187,1407.1792834733603,1412.348112179612,1479.4221110993399,1646.0863121811187,2466.429810789601
1,11,17.0,1343.342294260494,402.12084216465445,693.1809599447688,908.7507260770789,1076.889145761618,1206.7946786693788,1246.6614038853395,1290.1172387348888,1352.4284656739976,1400.5989505310831,1415.3677357068345,1423.9649616278132,1478.8554186574938,1655.2279662331189,2468.045003329601
1,12,17.0,1345.4478599325414,400.49312523350136,692.1028831057688,915.485956731359,1094.2388777416181,1203.195024985379,1251.0171877084374,1304.0588553739485,1333.6867366739978,1393.879066051083,1412.4690202876347,1422.4305385278133,1479.6408415574938,1662.9216578411188,2457.419617929601
1,13,17.0,1345.9245454616885,402.019095682256,684.3709600212688,915.5627260033589,1100.382172095579,1209.8012602700585,1253.2215189909903,1299.4386617892258,1307.1746209167695,1400.3041429950833,1417.3689466769147,1424.8702694238132,1481.5865781606121,1667.6054604547803,2456.562117929601
1,14,17.0,1352.8299979180413,397.6276463026855,682.4874984212688,918.1331105349589,1107.0374030955793,1222.5887992700582,1253.8187652963502,1299.9989690912257,1350.7636575167694,1407.7170282514835,1418.597542253091,1422.8032693258135,1484.500187659494,1677.8841948371187,2430.7346193296007
1,15,17.0,1351.8237531732177,399.159483032253,673.1873066312688,919.385879587359,1097.7387104955794,1218.7542600356583,1253.1983622570542,1302.8224299912258,1358.9096194167694,1409.985222357719,1420.0255792826483,1422.644420140166,1481.5181146186121,1675.32165252278,2433.7411578096007
1,16,17.0,1354.7425543141003,398.9037600887969,670.0155761112688,913.379380267359,1084.0246334955793,1212.2875678516582,1253.4632482792942,1314.731890691226,1414.5338295752986,1421.2289240903074,1429.0537419906484,1433.1621506021659,1476.528918149494,1672.8135020871186,2423.0478896696004
1,17,17.0,1360.3376561216296,390.4688467294957,658.4815380512689,939.2217675967393,1078.0057113755793,1212.8194140340584,1258.1310390997105,1338.419966795226,1415.2515359459994,1433.4246523840716,1438.8322529299212,1445.6988512031157,1480.87529645754,1663.8760800871187,2386.0615442696003
1,18,17.0,1362.8415248825843,391.3591777873759,653.427306791269,954.5100373167393,1046.1506742555794,1208.2471444180583,1254.7630957603105,1348.6829252177988,1425.0438490720678,1439.1011640696279,1445.3730531005685,1453.3202970022116,1485.939532896658,1668.8757287059802,2372.8907761696
1,19,17.0,1368.2932438931725,383.4918922156667,663.283460791269,970.5185757887391,1062.9424382635796,1203.871682458058,1249.6899754095903,1347.4488484977987,1443.42097583507,1450.7092647501909,1452.593954797571,1458.6741558778594,1486.2556867106578,1685.1581520259801,2339.8450067696
1,20,17.0,1374.0875314871137,379.86784876915743,673.426730391269,984.3660754969392,1078.6916312435796,1204.6784132300581,1251.5404939580703,1344.2555026577986,1451.3725023720679,1456.5249626113919,1466.9185409675113,1473.495484413439,1486.5747320387982,1698.4204585459802,2331.5415446695997
1,21,17.0,1376.7320678579372,374.1312518144227,658.907306391269,986.1300752851391,1074.1514770435795,1215.521798230058,1264.9029172908702,1364.411086213427,1443.0169201459994,1464.2200260860063,1471.461321818167,1476.8111098505512,1496.6903548881994,1718.45442107618,2272.1550092795997
