month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,10.005604809872759,3.9602009247346968,2.624220434258064,5.676822513580647,6.9992312460838715,7.912532001312906,8.019333321091194,8.498688100432261,9.412930044887096,10.68847832916129,11.48141730969516,12.564405958306448,13.436870901354837,14.74235502944516,17.256021436129032
2,18.0,8.968886010874725,3.9299084977436722,4.6821838674137926,5.205759016178571,5.479946340671429,6.391101597440885,7.00148571086702,7.698732192571429,7.873118729919948,8.8279650937266,9.126904699837144,9.576196269214282,10.894726091699999,16.231416970364286,16.864702641642857
3,18.0,6.500721329517921,3.0981185296281586,2.678333326129032,2.8709569904193546,3.336946277625807,3.882978375864516,4.274441798455097,5.389467781141937,6.568776955499999,7.002091461625807,7.836527880244196,8.182690853112902,9.198075351929033,10.588497211999998,12.261612916129032
4,18.0,7.285888913296296,5.127328717015839,2.858388946200001,4.014205506506667,4.473066714120001,4.918625060543334,5.251251228880434,6.128294326973334,6.680722149333333,7.0115002060133325,7.138964185803333,7.154955404500001,8.137594537473333,8.675133318420002,26.533972646666673
5,18.0,6.006267927093907,3.1359802913975567,1.6210215644193544,3.078615589925807,3.6805752996645156,4.069198836914192,4.15126777164411,4.327139766938066,4.878803687483871,6.282655987419355,6.714444641802839,7.001424630696771,8.116618248129035,10.527728589419354,13.379704289290322
6,18.0,3.9535185331118523,1.6482558987154885,1.4111110758333332,2.1750111076166667,2.7714722345333334,3.191041711046667,3.257037154778467,3.420783363864,3.8864166110166667,4.087872259760001,4.278808276150201,4.458116680256667,4.581155575433335,5.926025011726669,8.048555642
7,18.0,3.8424537290134406,1.7691540277507007,0.909516147548387,2.2098037655445157,2.520623658876774,2.9027096928193545,2.928769007374645,3.006903241432258,3.5512903436290317,3.9383656142670973,4.3310116888847485,4.715381696298063,5.20391925752387,5.635715185654838,8.32298424016129
8,18.0,3.4128793291290322,1.5205651946242087,1.0953494672580646,1.5914730894154836,1.878419352510968,2.3691343706483874,2.6491517696926135,3.1827042718709686,3.622513492309677,3.8953225024129026,4.072460041300323,4.187376329854839,4.349166713354839,5.20877677845484,6.595322743741936
9,18.0,3.917506152624815,2.2797370382604707,0.44183335016666664,1.5662694401700001,2.1050166061226667,2.756700004335333,2.947782833989754,3.327361194273333,3.717930493616667,3.9564111592613336,4.180778056712933,4.3125138718199985,5.6036721817666715,6.742616584316668,9.504888860766668
10,18.0,5.8075806295136205,2.0862478311242443,1.526801103516129,3.5432983184709683,4.405198910580645,4.9462582240451605,4.997351199947227,5.143150427283871,5.385228464380646,6.328419309729031,6.777094928066966,6.986029617748386,7.808526942767745,8.502610219267742,9.039892630645165
11,18.0,8.603598741364813,2.502666051667823,3.5976110354666675,5.686469406366667,6.1480723154999986,6.977930450876665,7.662896044189766,8.234205417706667,8.663555333099998,9.733244311420002,10.194715889808267,10.224322382753332,10.648971997133334,11.358547412306665,12.91502778053333
12,18.0,9.180737751648747,2.873828062444863,3.6674731383870975,6.749677453887098,7.519972994187098,8.22018833486129,8.281566397983774,8.604849485174196,9.016182840322582,9.139317016109679,9.310112944211808,9.490349720312905,10.509731104,12.085013373251613,17.047473333548385
