month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,7.69586318060036,4.420360334002546,2.2673656117419356,3.057032271880646,4.605763367283872,5.72090850122258,5.80804455635384,5.8726131580903225,6.398817312967743,7.606075197587097,8.582180712309292,9.13724722272903,10.56629054458065,12.033150338812902,20.321934962903228
2,18.0,6.900950473277134,4.510303122330011,1.9437500446428577,2.8530588531896552,3.2846905307857144,4.479851171092858,4.8456699658259295,5.16234508157143,5.902619118571427,6.8897138239160105,7.579012747031929,8.276982150974998,9.444041057106897,10.531982901096896,21.03827372392857
3,18.0,7.6251165449050164,4.6728393544693025,1.5962365591935486,3.533075368712904,4.388946226232258,5.333457014912904,5.348024948052677,6.353129389096775,6.906075307564516,7.939365425870966,8.933940200907742,9.046494697838709,9.993311759258066,10.441451728887095,22.74693562741935
4,18.0,5.989821048205555,3.995171177370163,2.1357221517266667,2.4168055037466667,3.0523333835000006,3.1816945607740004,3.233587026033139,3.4309445354346666,4.204222142366666,5.33943331414,6.774552433751401,6.907877805830001,10.007144719193334,10.802416963446667,16.187222233333333
5,18.0,4.089534038636201,2.593736075870023,0.8646773825483871,1.070516119703226,1.5121397844451614,1.81479030002258,2.400854376382484,2.869236621716129,3.320107457296774,5.379021512796129,5.997522749731408,6.113806328494195,6.728742109476131,7.155591162412257,8.547741935451612
6,18.0,2.4342777783714813,2.1667651850634293,0.10500000088,0.22994999804000002,0.7177222122426667,1.161966629967333,1.3945946421634734,1.582099915186667,1.7248055144533332,2.162011082166666,2.4567205201357734,2.6797001625313324,4.2120665661773335,5.23996657933,8.08566710188
7,18.0,2.775561524262725,2.203772814569374,0.03306451719354839,0.5784247261348386,0.8843118322129034,1.0058118030045162,1.0764193536946904,1.2561612613122584,2.5071774763548387,3.1819784340193547,3.952230882851162,4.16565588402258,4.520473031870967,5.238322643149031,8.062527006806455
8,18.0,2.506738306807526,1.1770283563930282,0.34322580012903225,0.8773494702929032,1.4223548446296772,1.9990644477838708,2.0939519206991295,2.340365651774194,2.73564512117742,3.0081718923264504,3.3948035547118716,3.419446127793549,3.611827921019355,3.824800939083226,3.854139620045161
9,18.0,2.52554941066037,1.6879768348122022,0.14733333416666666,0.9866555446599999,1.4368666755533333,1.6118388567399995,1.6234017048214,1.723100077066667,1.984694500756666,2.396411074696,2.7765095804184003,2.966800002693333,3.4395555328533334,4.809233482660669,6.641222302299999
10,18.0,3.4755943778451623,2.0160159091296994,0.35155913254838717,1.4994086682741932,1.6999139895729032,2.327973091187097,2.374511976656387,2.6844838454193547,3.2342741483870974,3.4703227254374194,3.9150868429050334,4.2204945913290315,4.990258114109679,6.2324084356354845,7.583871037870968
11,18.0,5.475876496291111,2.9141084589770507,1.9591110559533331,2.282522228793333,3.1152221297266665,3.757488890413333,3.9671782426461344,4.844155364333336,5.483666670783332,5.68312209002,6.129670583963734,6.14174424478,6.9813223951613335,7.801649930363332,14.210333291966668
12,18.0,5.032270020526523,2.949194169657887,0.6886559058516128,2.397838713561291,2.749365613909678,3.055086043180645,3.1949137914379353,3.419924693658065,4.129838627974193,4.454322483574193,6.019465178221742,6.531150654945158,7.696817214258065,8.840720413251614,11.63580659335484
