month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,10.007062725826167,5.726941353413628,3.2857741760645163,3.678454842951613,4.341780664077421,6.449874080703227,6.717000601093486,7.8256451198838715,8.627419409677419,11.995774142199998,12.150580283990386,12.36337722622258,13.951561244425806,16.657074392519363,22.887774419354837
2,18.0,9.717374108227006,5.706446242454232,1.8041379815172411,4.063988796789657,5.188071492414286,5.9253857075475,6.366732470445869,6.78811432350714,8.75257141425,10.12398585673214,10.899398638627876,12.275492727241774,14.213138983798034,18.399305060869704,20.992035328571426
3,18.0,7.560953388777239,2.4999109654716922,2.1471291029354833,5.085100017593548,6.110451662454194,6.585441996264517,6.6161521489961945,6.83667089,7.452790243032259,8.170612866516127,8.619351262886774,8.71494486582258,9.01681283354839,10.497445017587097,12.813645514516129
4,18.0,6.264133254621666,3.7731736566838174,1.9347333423333335,2.6412033082733335,3.5889466829400005,4.411903398710001,4.4424031176531,4.5642731626733335,4.690599881711667,5.622866607640001,6.340541155631335,6.619503150433334,8.923699810333336,11.162066541843338,15.096099723666669
5,18.0,5.98822221884767,2.0941934211482285,1.114645173096774,3.422880573864516,4.914812909058065,5.3689902956064515,5.587002159977355,5.780161323019356,6.163016221080644,6.520974140580645,6.647382441667096,6.782522578903226,7.166432265122582,8.857783819735484,9.231000038838708
6,18.0,5.339709237916667,2.8454418529798478,1.9340999828666667,2.74601001881,3.370953260726667,3.806233284136666,3.8625203030423663,4.17530657492,4.725333288083333,5.073953335273332,5.6621218236826,5.9851468706699995,6.362033163666668,8.698696745200001,13.50640003846667
7,18.0,5.249709699044264,3.713923140180948,1.0102902794516129,1.2155516169,2.575787063903226,3.4402645814967747,3.6192777951614197,3.8636839345161293,4.750419349612902,5.161348311503224,5.667001765462453,6.195554855296773,7.360329199110325,8.686906530935484,16.50354830483871
8,18.0,5.421519730823835,2.927315354895687,1.407870962064516,2.067354881703226,3.27841299916129,3.60818066458613,3.629643361356248,3.6768064345529035,4.734467674048386,6.225948296503226,6.425874013309097,6.559522498319355,8.030316249664518,9.955558077796775,10.375677655645163
9,18.0,4.930272208694444,2.3951589947825442,0.4302666654999999,2.216653346513334,2.7394866500466675,3.434666629203332,4.428571632401034,5.03031330276,5.3361500181166654,5.537786619386667,5.628937548572001,5.710320021399999,6.3490200074466685,7.457799915633334,10.347966754833333
10,18.0,6.921917544865591,2.7968555095992524,2.579548382258065,3.475454886951613,4.259987129909677,4.737374234419354,5.17433895803129,6.498903169548388,7.081225728774194,8.069619413096772,8.525586160910322,8.580141856419356,8.833548352999998,10.197848444277419,12.059096377580644
11,18.0,7.544103716755556,3.5525434015747024,3.2361333513666666,4.108579998853333,4.284046657919999,5.039063304363333,5.181538684941634,5.499313354486667,6.59706689845,8.207559823413334,8.817109775669334,8.870439959866665,10.587093486713336,11.873463369420001,15.991833180000002
12,18.0,9.391761617268818,5.17739238624339,2.127419332258065,4.036083866580645,4.442251514309678,5.203770901474192,5.852884138943452,7.5221353598064535,8.748241911451613,10.54181920070968,11.084674218842583,11.410032347870967,14.040096825522582,15.3880065236871,21.020483872483872
