month,count,mean,std,min,10%,20%,30%,33.3%,40%,50%,60%,66.6%,70%,80%,90%,max
1,18.0,6.356955844949103,3.882682386670383,1.6402443996451614,1.7751067627151613,2.1581503567419356,3.7212151139829035,3.7826911703721517,4.741493150585163,6.421354598967741,7.413572489541935,8.011984473239742,8.208622958690322,9.115917420374196,12.516270240306454,12.944111265161288
2,18.0,7.571436376850918,4.167819612237465,1.3241448175000003,3.1148350705428576,4.068745257064041,4.926976207555173,5.92761208492969,6.886425026881772,7.473206992022169,7.974698975357143,8.199401345122858,8.500434758499999,10.430791099835716,12.683720405512934,16.812481957142857
3,18.0,6.223074931989964,2.401098860326379,1.5276273407419354,3.610063419590968,4.774242871806452,4.952573167222582,5.462488019134485,6.118133723548387,6.40525210567742,6.490639646922581,6.759757783709871,6.920720329796773,7.204334658903227,8.17810857753871,12.68531545032258
4,18.0,5.9276342621783344,3.036693866467088,2.01320488728,2.6078982939709996,3.1632396105600007,3.674634088466667,3.765250507139667,4.074731714833335,6.541208219200001,6.882644795933334,7.110056546350801,7.166904340326666,8.0081697954,8.725596044533333,13.786547612666668
5,18.0,4.003544268168422,1.749676370826287,1.869510294883871,2.1105467696193547,2.2636572129174195,2.612517628964193,2.7858840099367708,3.544104471339355,4.00774561785645,4.23585900353871,4.359545018064381,4.500037559922903,5.4202751516903245,6.094052973604389,8.005793539196773
6,18.0,3.758877451116482,2.599499558128547,0.3216466226400001,1.188182976814,1.4588920427013337,2.4066499000383335,2.4370318598547835,2.5514842137073335,2.8005229877733333,3.351100224945333,4.36529892210864,4.910693505787997,6.4351025803479995,7.021855623529667,9.433956680453337
7,18.0,2.1442132143527957,1.0682817465939507,0.5476978833741936,1.043508184833742,1.3858563181380648,1.5835552028357416,1.5859996349989314,1.6936118329069678,1.9169045959032256,2.096295732877419,2.267150460164755,2.4196246876622576,3.0133662145748397,3.6345405425977413,4.509955978945161
8,18.0,2.8076607165761107,1.5085264389074764,0.6988588236774194,1.071043933791613,1.3594801228283875,2.1265524757445156,2.1422576264580897,2.5051492803999995,2.7982338424451614,2.999547235533549,3.0848671882615752,3.2146673867374194,3.4825058022058712,4.975320128658387,6.286068433332259
9,18.0,3.4624102474239815,1.7946438883422196,0.6192310951933334,1.3279077884683332,1.5402381645960002,2.556343264423,2.76693710623883,3.2078716186833343,3.448543812335,3.9101162512180005,4.03400889397216,4.101491732782,5.036152174258667,5.776921015456,6.744209393670001
10,18.0,3.5720275535329398,1.835793119804983,0.7449555912806453,1.4223435623258063,1.8675590101090327,2.38208713521258,2.399609601199448,2.803874981143226,3.5131226144032253,3.886954557916129,4.4304949826465165,4.5378844509,5.066864697907097,6.208412537405356,6.880555124516128
11,18.0,4.664560984661593,2.255197381783343,2.1685892675333336,2.278236287106666,2.804017938328,3.197777593256666,3.2597527259145656,3.3358870371959997,3.9797074243833337,4.706199492483066,5.060654779773397,5.391701144018199,6.558891418020001,8.165387525503334,9.41680082876667
12,18.0,4.937822619785843,2.026736396612454,1.2483167987419355,2.420527449193549,3.395505661393548,4.075896286612903,4.263739173127419,4.551378892980644,4.994536415403225,5.743806627148387,5.791699141624645,5.794866008509676,6.16158791447742,6.799445033809679,9.553380043919356
