country_name,location_ID,Date 1,Blank,Date 2,Below,Date 3,Normal_Below,Date 4,Normal,Date 5,Normal_Above,Date 6,Above
American Samoa,AS,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
Austral Islands,AI,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,99
Federated States of Micronesia,FM,1/01/2017,99,2/01/2017,99,3/01/2017,-3,4/01/2017,-3,5/01/2017,-3,6/01/2017,-3
Fiji,FJ,1/01/2017,99,2/01/2017,99,3/01/2017,-3,4/01/2017,-3,5/01/2017,-3,6/01/2017,-3
Guam,GU,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Kiribati: Gilbert Islands,KG,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
Kiribati: Line Islands,KL,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
Kiribati: Phoenix Islands,KP,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
Marquesas ,MA,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Marshall Islands,MH,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Nauru,NR,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
New Caledonia,NC,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Niue,NU,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Northern Cook Islands,NCK,1/01/2017,99,2/01/2017,99,3/01/2017,-3,4/01/2017,-3,5/01/2017,-3,6/01/2017,-3
Northern Marianas,MP,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Palau,PW,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Papua New Guinea,PG,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Pitcairn,PN,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
Samoa,WS,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
Society Islands,SI,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,99
Solomon Islands,SB,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
Southern Cook Islands,SCK,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,99
Tokelau,TK,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,2,6/01/2017,2
Tonga,TO,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Tuamotu / Gambier Islands,TG,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,99
Tuvalu,TV,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
Vanuatu North,VN,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Vanuatu South,VS,1/01/2017,99,2/01/2017,-5,3/01/2017,-5,4/01/2017,-5,5/01/2017,-5,6/01/2017,-5
Wallis & Futuna,WF,1/01/2017,99,2/01/2017,99,3/01/2017,99,4/01/2017,99,5/01/2017,99,6/01/2017,4
