,Stress,COUNTRYNAM
Marshall Islands,4,Marshall Islands
Federated States of Micronesia,4,Federated States of Micronesia
Kiribati: Line Islands,4,Kiribati: Line Islands
Papua New Guinea,4,Papua New Guinea
Nauru,-666,Nauru
Vanuatu North,-666,Vanuatu North
Palau,-666,Palau
Tonga,-666,Tonga
Niue,-666,Niue
Fiji,-666,Fiji
Austral Islands,-666,Austral Islands
Tuvalu,-3,Tuvalu
Southern Cook Islands,-5,Southern Cook Islands
Pitcairn Islands,-5,Pitcairn Islands
Vanuatu South,-5,Vanuatu South
American Samoa,-5,American Samoa
Samoa,-5,Samoa
New Caledonia,-5,New Caledonia
Wallis & Futuna,-5,Wallis & Futuna
Society Islands,-5,Society Islands
Solomon Islands,-5,Solomon Islands
Tuamotu / Gambier Islands,-5,Tuamotu / Gambier Islands
Kiribati: Gilbert Islands,-5,Kiribati: Gilbert Islands
Tokelau,-5,Tokelau
Northern Cook Islands,-5,Northern Cook Islands
Guam,-5,Guam
Kiribati: Phoenix Islands,-5,Kiribati: Phoenix Islands
Northern Marianas,-5,Northern Marianas
Marquesas,-5,Marquesas
