locationID,CATEGORY,-6,-5,-4,-3,-2,-1,Stress,stress_category
Marshall Islands,4,-3,2,4,2,4,0,12.200000000000001,3
Federated States of Micronesia,4,0,4,-3,-5,4,4,7.800000000000001,2
Kiribati: Line Islands,4,4,0,0,-3,-3,-5,-5.6,-1
Papua New Guinea,4,-3,0,-5,4,4,-5,2.6,1
Nauru,0,2,0,0,2,2,4,8.0,2
Vanuatu North,0,0,4,2,-5,-3,-5,-9.200000000000001,-2
Palau,0,0,2,-5,-3,0,0,-4.6000000000000005,-1
Tonga,0,4,-3,-3,2,-3,0,-3.6000000000000005,-1
Niue,0,2,4,4,2,-3,2,5.0,1
Fiji,0,0,-3,2,4,0,2,5.2,1
Austral Islands,0,-3,-3,-5,0,4,-5,-5.800000000000001,-1
Tuvalu,-3,-5,4,4,-3,-5,4,-3.4000000000000004,-1
Southern Cook Islands,-5,0,-3,2,4,2,4,4.199999999999999,1
Pitcairn Islands,-5,4,-5,2,4,2,4,4.199999999999999,1
Vanuatu South,-5,-5,0,2,0,-5,-5,-14.8,-3
American Samoa,-5,4,-3,2,0,-5,4,-5.2,-1
Samoa,-5,4,-5,4,0,-5,2,-6.8,-1
New Caledonia,-5,-5,0,0,-5,-5,-5,-20.0,-3
Wallis & Futuna,-5,4,4,4,0,0,0,-0.20000000000000018,0
Society Islands,-5,4,-3,-3,-3,2,4,-3.6000000000000005,-1
Solomon Islands,-5,4,4,4,0,0,-3,-3.2,-1
Tuamotu / Gambier Islands,-5,4,-5,2,4,2,4,4.199999999999999,1
Kiribati: Gilbert Islands,-5,0,0,-3,2,0,4,-1.2000000000000002,0
Tokelau,-5,4,2,4,0,0,0,-1.0,0
Northern Cook Islands,-5,4,-5,4,2,-3,2,-3.2,-1
Guam,-5,-3,2,4,0,4,-5,-3.4,-1
Kiribati: Phoenix Islands,-5,-5,0,2,-3,-3,0,-10.2,-3
Northern Marianas,-5,-3,4,4,2,4,-5,-1.0000000000000004,0
Marquesas,-5,2,2,4,-5,-5,-5,-15.399999999999999,-3
