number,tpara_masked
0,-8.499764842579477
1,-22.94194279817964
2,-2.6341240300098434
3,-17.113999698873766
4,-34.538962373281485
5,-7.834269463610663
6,-16.730563469604093
7,-12.935347344696144
8,-9.814460487110344
9,-19.839753214775424
10,-16.819100252447512
11,-18.654911097352546
12,-26.346815165770415
13,-29.515138909051462
14,-15.509164717918289
15,-6.410400769878093
16,-0.29530787691732663
17,5.811210081042695
18,-23.3734790863646
19,-18.37989211034491
20,-13.742633368733717
21,-23.485391146230672
22,-22.53695449191448
23,-11.511407070362043
24,-12.698830300063557
25,-10.283138686241324
26,-23.816838805672617
27,-18.79103003240609
28,-26.397458441351773
29,-29.12634676653801
30,-22.949993510539773
31,-28.427101133948547
32,-15.50705940610863
33,-26.943730012539564
34,-24.94243534345986
35,-21.30154278482358
36,-31.47014198206038
37,-18.64432348426177
38,-19.790427864386906
39,-2.995214479731793
40,7.843526519637736
41,-17.526546074535602
42,-17.82958255110619
43,-26.804394161040864
44,-7.967640966752596
45,-19.802491301056254
46,-6.915999822215074
47,-10.227103707115424
48,-18.42764479281161
49,-19.117534419718947
50,-12.576833796629217
0,-22.018391916318517
1,-6.535937289329384
2,-15.107852483445777
3,-29.621136490134262
4,-34.19855740158137
5,-11.320790889086581
6,7.782876368070093
7,10.50777157466335
8,-35.193532960315004
9,7.625760697801861
10,-27.236228350846908
11,7.051905726029872
12,-13.136782262824488
13,-27.073489326944074
14,-19.791947175812542
15,-46.49295250026677
16,-9.456910250778325
17,-36.932987696942554
18,-54.161945907661966
19,8.668083337523866
20,2.2308154994048146
21,-31.36483066683653
22,-22.52419209172432
23,-3.7561100896255084
24,-2.5305578866942198
25,-19.96120352137715
26,-5.747930263442801
27,2.8472882323487485
28,17.839378172210573
29,-4.120483115204681
30,-28.04436992097113
31,-36.49385781222413
32,-30.142667358008854
33,-4.641069158613694
34,-14.620680106931843
35,-37.26318091950092
36,-12.563894352874069
37,41.35059313888952
38,-11.576239621212556
39,-0.4452833821830979
40,-16.03089045871726
41,-13.968447402871956
42,-41.56801855812218
43,-25.966135250196544
44,-3.639588252179204
45,-39.3335658694022
46,15.010504575932961
47,13.769688533426674
48,-16.938932232177546
49,-12.622685448322784
50,-26.384845913046068
51,-5.204686920129226
52,-29.213731943821553
53,-7.02073638731488
54,-16.312623350876898
55,7.251879557762313
0,-5.577813108512027
1,-17.401282127172667
2,-12.262251790094458
3,-14.680543464001623
4,-7.766463686156958
5,-16.970981657019973
6,-13.66123990886047
7,-10.503889050731367
8,-16.52494819171369
9,-13.632780303817492
10,-6.460286133207975
11,-13.494842379360406
12,-7.552764010917465
13,0.40643676079020624
14,-14.706491432055676
15,-12.314078250912845
16,-17.836165861134994
17,-12.982611594822998
18,-9.446782516735968
19,-17.63440330385627
20,-7.474861158024631
21,-19.075994512402556
22,-12.416990102792624
23,-5.401251133594929
24,-14.1163725318081
25,-9.539736243756058
26,-14.945433795892987
27,-11.4666523519123
28,-14.477010339490974
29,-11.796365234423082
30,-12.031593828228159
31,-11.6028281303847
32,-14.129903370808783
33,-16.517916450269425
34,-18.390060766385567
35,-5.671956336704575
36,-11.772444681641733
37,-20.72246203439405
38,-15.16865790175938
39,-12.704236740790764
40,-10.346942265944866
41,-14.887242977474
42,-10.394360203833827
43,-9.414272291771205
44,-7.122730915364595
45,-7.643793482943525
46,-6.794653860129917
47,-12.55826494646802
48,-2.142550564948815
49,-11.16870020336204
50,-8.105439940630243
0,-3.4873415760077684
1,-5.996840028669963
2,-16.751298093498477
3,-18.698542960906806
4,-21.918892314345243
5,-19.791095445603553
6,-20.802890800921517
7,-8.208199420567798
8,-18.048614717995576
9,-27.787219307411018
10,-17.186374397700394
11,-18.120685659802668
12,-23.44383393588285
13,-18.216466360046173
14,-21.247674697877777
15,-23.624928515544156
16,-12.447798775278226
17,-24.555670682010106
18,-15.335959596890694
19,-13.986301302300793
20,-23.31701857108918
21,-19.000030849059407
22,-17.31047785771925
23,-3.9730629979388783
24,-20.956728961239065
25,-20.15479115289896
26,-24.332049856449583
27,-15.729446716321677
28,-15.515383480049055
29,-25.622155459043626
30,-26.765287138893523
31,-18.95679399463343
32,-12.736119056508297
33,-12.637619740808583
34,-20.654648690976025
35,-18.96258669428671
36,-20.311739450878324
37,-13.628846594492138
38,-18.3336139356369
39,-16.076661779607097
40,-22.429263450644783
41,-16.585676042445307
42,-21.323781588214974
43,-18.473535524355643
44,-18.235841018302516
45,-9.986579135662161
46,-18.615948091691177
47,-10.998026851367555
48,-22.504116693590323
49,-18.406624504421043
0,-34.386754217737064
1,-17.3484035367774
2,-40.287896475711534
3,-43.63439321798103
4,-36.64314849903282
5,-20.632270542259228
6,-39.161820453159635
7,-17.044173348410737
8,-15.15339814122601
9,-26.19284772614955
10,-24.461074811778484
11,-27.187564857858554
12,-28.143237929401515
13,-23.313161245107917
14,-15.832495972692529
15,-13.784779079523343
16,-37.62871759039188
17,15.908889876241288
18,-7.811681638995819
19,-25.37143973102974
20,-13.483710477375837
21,-36.00634108564732
22,-32.140940115149775
23,-24.746295580592278
24,-30.287192342581402
25,-17.779589356337056
26,-16.85410474557877
27,-29.224550187241977
28,-30.033783854971972
29,-24.293304684769517
30,-17.715210171226552
31,-30.747621008968228
32,-13.771532753676434
33,-13.643958522661876
34,-30.247077205032202
35,-13.743494375472876
36,-4.211085932634314
37,-27.090844267474026
38,-21.596905037997487
39,-36.1291513578871
40,-37.059858128798254
41,-28.46140949257174
42,-24.359183575589434
43,-29.49185879870171
44,-31.819646835102777
45,-26.82245267046121
46,-21.60299616559979
47,1.011171327739383
48,-2.837275764127972
49,-34.021335674575916
