number,tpara_masked
0,-7.4561154616714225
1,-14.01341015244489
2,-23.03819133818184
3,0.6399074192342122
4,-5.206608740856474
5,-8.684110155256889
6,-18.13661069886789
7,-11.52298365367541
8,-14.497048697295314
9,-14.805678987344166
10,-18.467645717195136
11,-4.493916481738712
12,-12.647763856808458
13,5.0476871735925135
14,-15.737822633565413
15,39.74438582358912
16,-3.194673825890748
17,-6.326670413896123
18,-16.47907555269302
19,-8.914810223359382
20,-14.674147526723877
21,-20.6682249915536
22,-4.132455497138262
23,-2.018695071186543
24,-17.881598489987446
25,-10.77644903354532
26,-9.365269054089568
27,-13.667663215191741
28,-13.312120262088246
29,-6.549675567334311
30,-10.884998910451369
31,-12.821355236762125
32,4.2998930506722965
33,-15.875918456408218
34,-12.595267906834597
35,-20.252975395528164
36,-14.561980724128833
37,-10.74004187642088
38,-10.84905913254867
39,-11.881584045854481
40,-14.528394684829335
41,-3.784375874400009
42,-10.962743864958476
43,-14.112747184871866
44,9.060687278650692
45,-4.457903017922675
46,-21.590648413149644
47,-13.617796799668147
48,-18.637660172384198
49,-7.802077140729158
50,-20.71968512811711
0,-18.83485111085924
1,35.82350475520949
2,-9.000110944578374
3,-3.8400515689073917
4,-18.454663509293855
5,-26.109588894221947
6,-19.057908370764718
7,15.420341152131794
8,-3.4771841702270954
9,-30.868640187185925
10,2.6149941142513713
11,-24.823561872722166
12,-28.961031893636072
13,-26.513036112242435
14,25.74371182072776
15,-5.211000487082418
16,-21.047813960864104
17,25.09064449211733
18,7.437435227357296
19,-28.163260497367276
20,-23.88518479297848
21,-15.433654815061109
22,-6.694570494666415
23,-11.956167019396466
24,-21.968946168410895
25,-18.432604644271194
26,-8.953862573190676
27,-1.1305381651414723
28,-0.26975222056080383
29,1.4221094425516234
30,-19.705279251946163
31,-12.261733751807293
32,19.5766166734125
33,-20.866438914195154
34,2.700554709896871
35,39.28822916381907
36,-8.2746314820657
37,10.421376222885318
38,25.697156139606836
39,8.559955838799635
40,-13.019930351961026
41,-0.3460787212361538
42,9.347235413664986
43,33.21127537590116
44,-6.6695570876828665
45,-7.608684513713713
46,-7.436616063690356
47,3.654881566119541
48,11.931258483257437
49,-7.314072771304451
50,-12.516117854067522
51,18.04252891946379
52,-23.419048823648655
53,3.3739446791969385
54,5.416462143001708
55,-1.3768566862769078
56,2.2741752514076765
57,-5.840794185756009
58,-7.322999951287346
59,-10.58651431538625
60,7.136509983785833
61,5.805305339326541
0,-2.43384361224512
1,-7.799007596110674
2,5.642669344120399
3,-5.355437443304928
4,-5.977771824863913
5,-4.114156126888702
6,-4.255776241700881
7,0.17351558872852127
8,-11.090826824834544
9,-11.17279503483183
10,-4.131463895275912
11,-11.01962096880824
12,-6.903738486235616
13,1.9486745057090755
14,-0.8253390728054069
15,-7.19429888502216
16,-9.042941605407071
17,-3.7131405440083696
18,-10.801651721218755
19,-4.783285274040988
20,-0.9170085596216033
21,-3.7375200547642264
22,1.4277908896339662
23,-9.767669932140658
24,-10.165832817518904
25,-10.279351230295745
26,-10.156186278807041
27,-8.728862768394821
28,-2.662634162536253
29,-6.959099765582425
30,1.3683726744299445
31,-6.130177452076976
32,-7.381859008832921
33,-3.885944537345225
34,3.990212210030424
35,-4.7426485454909395
36,2.7613374961085215
37,2.5119296272653933
38,-3.223828183830914
39,-9.511402957421659
40,-13.357159197632289
41,-9.552361798678586
42,-9.85299611447435
43,-9.483798108973403
44,-7.064137982389958
45,-1.9961724454468046
46,-3.0192781937162017
47,1.1175500360507242
48,-1.7829401494290558
49,-0.06059929512924065
50,-6.50701142351156
0,-12.915877157916436
1,-20.297803931473226
2,-15.039554918311532
3,-7.61636758599909
4,-14.294818234466891
5,-16.354835280302034
6,-4.86154418779363
7,-19.132075808388265
8,-6.176202199875895
9,-8.240356084730525
10,-12.795824778356325
11,-10.679158101033359
12,-9.75138659532183
13,-12.44662085332072
14,-14.32020605799759
15,8.875567934928263
16,-15.518245519872297
17,14.329125474643188
18,-10.47491686805373
19,-11.743409339609808
20,-13.17135964082236
21,-17.286308911039853
22,-13.85897020190475
23,-5.830917839101925
24,-14.609982688671996
25,-8.134307713000316
26,-20.113442171047307
27,-2.8811513175242
28,-17.85089356989947
29,-12.752167782642335
30,-17.080805214675365
31,-13.766417997321359
32,-18.312490881713632
33,-9.04244521235695
34,-6.743463664015002
35,-5.655698395209448
36,-7.477051011261648
37,-5.8139634999347605
38,-14.38239381088722
39,-13.188289834694709
40,-0.6503681214974641
41,-12.303809724143221
42,-15.789254282628493
43,-8.119223746003055
44,-13.935375125445011
45,-17.53026606181678
46,-12.626374020404304
47,-9.50540104240729
48,-8.65469658080016
49,-16.57735473172663
0,-5.3319163076484655
1,2.8452566722434214
2,-22.629841506866594
3,-29.56313804458188
4,-12.731958105089488
5,-30.39436962197855
6,-15.64531631820037
7,12.388518392206741
8,-26.960622212112845
9,-37.039204394931055
10,-31.718202155285848
11,-24.947912706878654
12,-2.6330966049512328
13,-23.16997458093637
14,-4.643232563871101
15,-6.668868519139122
16,-2.377713236177846
17,-18.63282479748536
18,-16.156146544056405
19,-21.112551904265175
20,-25.09642804682244
21,-9.552101299237638
22,-24.970808564927644
23,-28.98112130525179
24,-13.634130795552394
25,-18.058694950940225
26,-4.79909596835855
27,-25.909465716933006
28,-29.086609006130686
29,-10.633827152162212
30,-16.391999066753566
31,-12.415541385103602
32,-19.187467154219355
33,-19.543870061406103
34,-21.6598826775617
35,0.2348068077422054
36,-9.228586684962972
37,-24.820105608640645
38,-8.36907836859129
39,-4.720069865824271
40,-30.197153880298753
41,-31.392034979713
42,-3.259739375546697
43,-32.163924363399275
44,-26.305387432098883
45,-7.082765847072821
46,-37.72816344112302
47,-28.313886543982232
48,-35.54376493542366
49,-8.380308068888517
