number,tpara_masked
0,-11.11127150781815
1,-15.448329627866364
2,-4.030617705166712
3,-11.534659888414431
4,-9.647907866306968
5,-16.04605958119116
6,-8.429999370716281
7,-0.07780144704066731
8,-15.167902094819713
9,-17.004472957288037
10,-15.204071702594968
11,-9.809628796507175
12,-0.9792717528510781
13,-12.156957777902047
14,-12.036317095273125
15,-14.800456761400305
16,-11.20178903818916
17,-15.812264002957864
18,-13.220479898752084
19,-8.98908141338055
20,-16.40366889783584
21,-12.883827908516661
22,-15.563525974155507
23,-18.673776796478908
24,-10.9524615220801
25,-17.64173856108643
26,-7.543887665442638
27,-10.691571282627086
28,-10.579820980885057
29,-12.084361363425465
30,-16.5631578466325
31,-12.294261652619126
32,-12.176901747560255
33,-17.679224339628014
34,-10.823825917853995
35,-12.718118815978357
36,-13.276673127149007
37,-16.700344525658842
38,-17.822698181488605
39,-13.49027490538935
40,-18.01501104670967
41,-16.725004744655987
42,-9.981262938248463
43,-14.930083967488757
44,-14.233526116309624
45,-17.05263056139279
46,-13.227153737188704
47,-17.228154617587727
48,-16.86208405278003
49,-17.901622110609118
50,-8.191461928517027
0,-22.783644501897825
1,-25.28313420353041
2,-18.772822687309453
3,-21.562358011578205
4,-18.43030917455839
5,1.1450612693970277
6,-22.031229230520566
7,-15.572063090299835
8,-23.296680595615346
9,-16.846041713854998
10,-27.23592910599304
11,-22.715159163783973
12,-24.816932898260905
13,-19.459340794418193
14,-23.062656777458514
15,-3.076216214543873
16,-2.672333098292293
17,-27.033583607611522
18,-19.012538901266552
19,-6.960255340532283
20,-4.194599279713533
21,-14.357715789943597
22,-7.177787862020667
23,-15.226836554327052
24,-12.644176164251151
25,-27.17045398546879
26,-26.297798227114267
27,-25.351992077665493
28,-6.859644303883571
29,-29.634755856400023
30,-20.421374484440264
31,-6.276592222645255
32,3.6640123308509485
33,-5.620767193245565
34,-11.893253542499199
35,-7.6951955150941185
36,-19.527426057497216
37,-22.65238526248059
38,-18.74972685205146
39,-16.329610821292153
40,-2.195742786495309
41,-18.538626655743116
42,-7.934644420242384
43,-6.72859914836098
44,-27.903871372647465
45,-5.351823450797752
46,-19.962525509163875
47,-25.589087518339696
48,-6.889045323225604
49,-17.45835182867493
50,-6.690811027306225
51,-25.634174355210003
52,3.1133103118849594
53,-5.390099253078499
54,-21.19790855879428
55,-18.46346412933453
0,-23.93707246135167
1,-21.45221924927031
2,-20.41139730212263
3,-17.70135993888008
4,-16.372425368809882
5,-24.235781118612202
6,-15.030096805006634
7,-23.41695237169286
8,-11.083769819648564
9,-22.254523403795627
10,-16.65967130503742
11,-25.3826399021358
12,-18.671875699914782
13,-10.511063251608084
14,-17.291031158324415
15,-1.5384467801202755
16,-10.621450363953361
17,-12.127007261212531
18,-18.08347894472751
19,-13.999596499891112
20,-6.759083213564511
21,-12.107151363765029
22,-23.983385110540564
23,-23.343077682062514
24,-20.979394287644904
25,-12.521803753007129
26,-20.035971082518103
27,-13.890742054543267
28,-23.54620237608209
29,-23.06882222147118
30,-17.662724660090415
31,-12.329598609573656
32,-6.746967845870524
33,-13.455479364455202
34,-16.622286581462692
35,-12.267609106879437
36,-14.415001187219861
37,-24.400874056560877
38,-16.481244023856966
39,-16.897313287946968
40,-23.413840720838188
41,-24.997261873607012
42,-22.058075355295085
43,-11.913266181507447
44,-8.96769986664165
45,-23.070277693702256
46,-21.591995110937226
47,-18.17955134030831
48,-8.522509929600437
49,-20.28930395434504
50,-17.738594483545718
0,-29.852315330265636
1,-26.89191225258014
2,-26.550137753617513
3,-11.787208076537897
4,-23.285423657846575
5,-23.915614240691784
6,-28.878093354197848
7,-31.38736955391696
8,-15.519771783212974
9,-29.07032221802596
10,-19.580731702717458
11,-28.342735225998865
12,-24.533622222929665
13,-25.32710532931066
14,-27.279946532185356
15,-32.55672907122703
16,-23.006855213814347
17,-26.02666622686104
18,-28.66908388328752
19,-28.972921680459205
20,-28.375093747896518
21,-15.142422607986552
22,-19.651579968243343
23,-27.626211403556606
24,-17.14462462259556
25,-30.606099542269043
26,-28.918810654785275
27,-14.716886206260307
28,-21.1108458505855
29,-30.047190666983692
30,-24.44094706594356
31,-31.979182561296213
32,-27.491209336418084
33,-28.184123611073055
34,-25.869600404235968
35,-17.220704220635398
36,-14.39856878445626
37,-17.69681608935847
38,-32.4049635245951
39,-21.554750001334465
40,-28.525500617297368
41,-35.27751904040827
42,-24.90948621032603
43,-29.754260608173393
44,-23.862008265066276
45,-28.28724663559599
46,-30.766589901268755
47,-24.04043381923314
48,-24.64015433939139
49,-23.42304459581174
0,-26.016353173294895
1,-20.175036971637876
2,-1.8138771362833879
3,-21.069486451826453
4,-18.49447187988555
5,-14.486571404736395
6,-13.883033817202666
7,-24.947211468085975
8,-11.752897579707396
9,-8.99298856507464
10,-9.44805318754734
11,-17.668186381700377
12,1.661664413747466
13,-9.459728852097745
14,-16.176403319737123
15,-14.048377254361197
16,-3.2612776841218687
17,-16.946789327124776
18,-6.2412652714044015
19,-15.483868201322169
20,-27.250914435842475
21,-22.06010189883712
22,-18.181564709203784
23,-6.3797052003351435
24,-14.084799455692945
25,-27.31756276878557
26,-20.498718475734123
27,-12.53546029392582
28,-12.45615585436733
29,-17.11400019230622
30,-23.454915030772256
31,-20.002602191877056
32,-19.544632439221303
33,-24.664522424444613
34,-14.7944755266884
35,-24.04846354426618
36,-20.88348699456368
37,-14.475507881524976
38,-26.586467356866425
39,-14.627491920048158
40,-17.228715134926716
41,-11.497064951648543
42,-13.146615905640848
43,-22.70436345926159
44,-16.462545664123976
45,9.997498804123794
46,-13.133674315454517
47,-16.9791277608389
48,-24.370985575296167
49,-15.013534678850514
