number,tpara_masked
0,-20.793222616972614
1,-25.123697777877325
2,-13.829828015298482
3,-18.43492917167303
4,-27.948972540989303
5,-25.786330985440905
6,-17.486323039756147
7,-25.021677350106287
8,-22.822248804094457
9,-21.97433377098347
10,-26.08776181087132
11,-15.190792448355536
12,-27.847177557024555
13,-27.571252233282856
14,-22.69318090917677
15,-16.2554767013245
16,-25.03389429909509
17,-26.10149300537923
18,-16.37129797433581
19,-20.294989699772326
20,-19.124041938522602
21,-22.453351156411685
22,-24.441766931381103
23,-12.804374844361316
24,-23.585121170195457
25,-16.395397478620986
26,-20.199388543151596
27,-25.40908296935043
28,-4.955805050283541
29,-23.407815318438942
30,-27.14145773973508
31,-16.95310966506777
32,-24.358806417750863
33,-21.463375296549696
34,-27.21185129628816
35,-17.83834836771101
36,-23.02478716877504
37,-23.298359104798834
38,-24.11265581716258
39,-16.217218273348767
40,-12.788003237958801
41,-20.46455186380761
42,-22.03866122244231
43,-18.36408402573678
44,-25.755636591911976
45,-25.322713605015043
46,-25.506309426688222
47,-11.627346240834692
48,-14.588300630602594
49,-15.43720796734654
50,-10.588253807338647
0,-42.67594260966409
1,-50.46282539159055
2,-2.303341824542404
3,-4.926060936390112
4,-35.25497303693532
5,-14.664485428441923
6,-30.562942081125144
7,-35.82757363761471
8,-50.73471077548183
9,-34.942030092400536
10,-35.211452552051405
11,-33.39525159013677
12,-50.16704563973356
13,-47.65161269137814
14,-32.452960324545224
15,-4.502550908245826
16,-39.7167116095028
17,9.884887317458663
18,-25.89656141653385
19,-35.309419909186126
20,-32.7941030874178
21,-23.933246709564976
22,-51.07069079295175
23,-44.508643947404344
24,-32.45975231812458
25,-9.696867676449946
26,-35.823015763646204
27,-21.636307642633362
28,-28.244697719216735
29,-38.696734639676876
30,-1.2760046188389054
31,-33.211348272322574
32,-14.930441623780172
33,-17.45255698533176
34,-10.484002878461434
35,-13.472032285354743
36,-19.742813216908313
37,-11.54508712499204
38,-25.44806607964306
39,-17.042402742800736
40,-9.192790539765454
41,-7.481374082654967
42,-26.154261066904493
43,4.864246169093512
44,-24.0656416440867
45,-42.379847088448564
46,-14.883417850701742
47,-12.091296249561314
48,-20.524027689992092
49,3.903115586564213
50,4.431040220613746
51,2.5387922107535905
52,-11.344418085308037
53,-11.491471324578091
54,-1.7401374936334935
55,-8.525861377663267
56,-0.9424833698116021
57,-7.082517261284378
58,-13.173739262699138
59,-7.80516975057364
60,-10.61186515341312
61,-1.3510631187207285
0,-20.746828211508447
1,-18.318613501271752
2,-23.108919990197954
3,-23.85962084695671
4,-24.583686702240858
5,-18.306766209948197
6,-24.335215697153025
7,-24.97605787483073
8,-22.434493878532567
9,-20.318567086728706
10,-20.857070057338856
11,-26.597823773359487
12,-18.123503729311555
13,-26.723072983539748
14,-21.793220111933884
15,-22.190945794226327
16,-21.718094867088595
17,-12.640959489039638
18,-23.967230351254443
19,-15.134485884006194
20,-23.59660494434655
21,-18.210540828375898
22,-24.048803464402113
23,-19.03211981428925
24,-25.04265660684689
25,-14.671141141459678
26,-16.82930329524773
27,-6.249768285883483
28,-15.362159917267606
29,-26.433851563064156
30,-15.972561391489435
31,-20.771523519035757
32,-15.597177278121105
33,-21.937596781675513
34,-20.697100746564292
35,-20.739051891454164
36,-15.505939380225891
37,-8.054139105993663
38,-15.102188295534205
39,-11.372010164820866
40,-20.880561126511036
41,-12.521842350390306
42,-12.473511408946553
43,-22.074766969092675
44,-14.480710775881752
45,-18.501926509391826
46,-16.27857688427069
47,-23.591493949043297
48,-15.520581122091468
49,-17.52434040952968
50,-13.24865212873304
0,-28.166856868853216
1,-42.76664658074709
2,-39.567145340667786
3,-41.18401188255599
4,-42.523602329355874
5,-43.94758622311903
6,-39.551162180741905
7,-37.00278948543448
8,-15.056643002345732
9,-13.631140797728303
10,-31.63529754207022
11,-19.4920076348443
12,-35.733663112168124
13,-41.60131464006314
14,-35.57436289032047
15,-34.47642774834088
16,-40.37309280855329
17,-12.439310130648762
18,-26.94150272970952
19,-47.86508905553608
20,-41.715060464893504
21,-25.71270318473961
22,-48.85335961283225
23,-37.710191699058676
24,-34.41240750244617
25,-50.73444558294998
26,-30.49665387163573
27,-41.248381538937515
28,-24.681301485438457
29,-35.72760199074169
30,-42.86092511360149
31,-29.309504968449083
32,-39.88738037805803
33,-11.86172746856671
34,-44.83955462623542
35,-40.01574592670131
36,-29.58793131489933
37,-43.72816254498921
38,-50.96351620550279
39,-43.70903131341085
40,-31.798340399748742
41,-42.93499810277049
42,-41.16857577474565
43,-30.884847716331855
44,-23.557911873651182
45,-35.07426033013382
46,-34.72618546627747
47,-36.399301811334894
48,-40.88778073320622
49,-27.716211367142574
0,-34.57602734714254
1,-20.827191603718155
2,-19.747848305852177
3,-8.062058790106564
4,-19.583357328086162
5,-26.288650153868836
6,-26.809819423474956
7,-16.362467150746287
8,-14.668698393124112
9,-17.347725228887438
10,-19.565755249169637
11,-13.882986557338606
12,-0.8543944673840613
13,-21.51484436424065
14,-21.706530646999525
15,-25.581109044491033
16,-19.810528476919373
17,-21.817227503344803
18,-29.2949387135253
19,-19.122549003802995
20,-6.288548658486655
21,-13.93910127789059
22,-15.136149699867682
23,-18.398152154027777
24,-30.8183567006207
25,-6.063786937591819
26,-13.01137767076402
27,-23.832395003977435
28,-5.6956661828623085
29,13.533276145817874
30,-26.03306035488645
31,-4.96798924083989
32,-24.540916097624557
33,-4.4339022220589115
34,-27.193640458786263
35,-20.230664660649936
36,-20.630774032895612
37,-22.624592805530213
38,-17.83031185249913
39,-25.856456361454484
40,-8.683513864064881
41,-35.87286414695485
42,-29.607990270767388
43,8.069145351896623
44,-12.28247824435079
45,-28.627665247962202
46,-34.4148130185617
47,-15.408976218446291
48,-17.89681853469074
49,-29.84695996528015
