number,tpara_masked
0,-7.244934892578417
1,3.017437209443471
2,12.795031260958735
3,4.955069692124695
4,-18.407630470337136
5,-14.16717794083546
6,-15.726069349740092
7,9.454227848564983
8,-0.18871598604795878
9,-33.68613787490035
10,-11.846681753393254
11,-9.847745073014963
12,-17.800445671953398
13,-17.331316425745015
14,-9.123814104933146
15,10.687401936277436
16,8.125155837035436
17,7.8480945876074815
18,-16.32417696749411
19,-23.18722918080167
20,-7.848960460060585
21,-15.939217319561024
22,-15.366373102349618
23,23.419799419001723
24,-1.688177826102738
25,-7.388370135802667
26,-15.751731999170634
27,5.539938880830838
28,14.871574318393625
29,-2.1526701127117676
30,-20.66241715151284
31,-17.2262537243491
32,3.1515551057736952
33,-3.588367878675189
34,-18.17842088780618
35,-12.041777964889711
36,-35.59409742468771
37,-19.732868548343298
38,-17.179424401566237
39,-11.604561775710764
40,-7.420767802715191
41,-17.256947614107002
42,-41.50083763909332
43,-15.275599739625468
44,-3.6224628319908465
45,-11.75726437125265
46,-22.89228536680877
47,-5.655331912116312
48,7.003453419312814
49,-0.22543003936222647
50,3.934305512064469
0,-38.32893466156348
1,-18.00562879196289
2,-16.922769649441523
3,-7.232942460398839
4,-22.475977311187634
5,9.692872052654373
6,-24.969284580035804
7,-23.670431044992796
8,-26.684051983239502
9,-13.190113049980098
10,-15.679204703537552
11,-16.958839320324778
12,-8.025013932522373
13,-20.60057238389009
14,-1.488761920532944
15,-28.985357658451246
16,-30.485399347064963
17,0.0577951826608556
18,-40.64538360361855
19,-14.373546060958857
20,-23.597696856523527
21,-33.05284570042318
22,-21.76082752439939
23,11.973644451464196
24,1.9390259260665923
25,-12.566078828857476
26,24.520829855578093
27,3.1871032559114907
28,-5.097826817425575
29,-13.227362772114072
30,3.4395765399015015
31,-10.118888055640364
32,2.6870157517441604
33,26.04681673652676
34,-4.4718855968327995
35,0.36741342913419683
36,5.588225969047641
37,9.495374367913671
38,-9.493226507540864
39,-9.202786516656078
40,-11.524973526888704
41,-31.103165833179332
42,-37.024901683094285
43,2.711292044712966
44,-19.90267111673383
45,-12.11108761845289
46,3.123198702172819
47,-19.471943926575534
48,-7.111393522376622
49,-16.561558480265155
50,-8.33370238928488
51,-15.378544505476617
52,-34.163752992285566
53,6.217366083479829
54,-23.579994207080176
55,-5.542407076584438
0,-16.86761036595156
1,-11.942997036479186
2,4.776966022745911
3,-10.28158320668664
4,2.6407258968584575
5,-11.47883086642896
6,-4.452158622017225
7,-4.07238732330529
8,-2.0276571279152598
9,-16.583285370657787
10,-7.019421482868531
11,-3.1536881268703087
12,-19.611721042911952
13,0.14365256779528227
14,-5.020636277795204
15,-4.127415734057564
16,-5.731553593640066
17,-5.08197057487205
18,-21.43539821268239
19,-23.411750106110023
20,-23.32195830178303
21,-27.495527260292697
22,-2.984938625725171
23,-2.746357954456759
24,-15.4080199971008
25,-19.172825426765133
26,-28.226619726576743
27,-18.51217946061355
28,-24.60393783313261
29,-21.656074458918276
30,-21.934951114020336
31,-25.29360740608253
32,-33.26271389542378
33,-10.555889808810685
34,-33.57412073083896
35,-14.050972302425548
36,-10.359687688299072
37,-28.493218970139896
38,-5.424152527486138
39,-14.067939848664825
40,-19.762518918685686
41,-15.704645130022582
42,-23.897967315814107
43,-12.848319634319942
44,-13.59987131023907
45,10.446206980911176
46,-9.718968599932014
47,-27.634189787960846
48,-5.686491176350372
49,-8.101312698637043
50,5.1542148721889856
0,-0.5305667401454625
1,-4.739448986707239
2,-3.148537477562892
3,-14.91137111582078
4,-13.069608112646248
5,-12.798175412872872
6,-8.462721349482877
7,-21.089062636415168
8,-13.86986564374332
9,-16.750856662905637
10,-11.474201692929405
11,-9.155681338608655
12,-16.838488386079877
13,-7.095192659547218
14,-10.290162800688375
15,-10.904657927384823
16,1.5964765830751242
17,-10.37092780304632
18,-7.765254893199987
19,-16.57437602825815
20,-22.159932092796677
21,8.091123087268967
22,-17.37100325699139
23,-9.65462875466389
24,-20.421497532117545
25,-17.738354853796203
26,-15.799959610360952
27,5.173345725615977
28,11.229724574089165
29,-10.834134655506451
30,-22.33993470922445
31,-12.009812396690258
32,-9.952929396655778
