number,tpara_masked
0,-23.93939839054029
1,-12.891535969098792
2,-14.233063565269626
3,-21.91119438382177
4,-22.013643861858633
5,-21.15191511128008
6,-11.020979637047883
7,-4.761509476086051
8,-10.742245801035702
9,4.634117990084026
10,-19.50985765435891
11,-17.87968452996817
12,-9.522770388533292
13,-6.318730293565346
14,-13.74613011269806
15,-12.54743843838292
16,0.7580665497799703
17,-0.7328705780512081
18,-16.04875693475252
19,-12.17984687526849
20,-12.932066795201534
21,-18.439061935598346
22,-14.398180575704423
23,-20.84991775872267
24,-26.9105190240124
25,-15.325377849724948
26,-16.65868644017287
27,-10.175100410631583
28,-23.32967255824769
29,-17.235837788120993
30,-24.54403024722119
31,-4.553301569861408
32,-17.34395594452407
33,-18.16702067003462
34,-16.84105514401482
35,6.503105885889859
36,-8.568909066752893
37,-10.31810855225659
38,-20.871832349358655
39,9.0941535309715
40,-7.0261997740948985
41,-15.999905905851445
42,-19.720865872664543
43,-14.039436943373097
44,-8.301658532951071
45,-3.7910024591130624
46,-11.684928043425517
47,-2.3275071706999975
48,12.314143099779862
49,-12.060030753799664
50,-5.944023387074695
0,-18.633687642260416
1,-7.827146933061769
2,-5.478998018738758
3,-19.934098880458606
4,-7.37625243724733
5,-17.77063736410314
6,-20.39779063310753
7,-12.778129635885687
8,-21.7281197491105
9,-16.00528908197852
10,-14.931421750624056
11,14.78945749965198
12,-21.092949056771772
13,1.5383080510645974
14,-21.385026357635518
15,-8.655550779076055
16,-6.4622067921485105
17,-16.909014139236216
18,-8.880143634994022
19,-21.894314320301962
20,0.044362622711149664
21,2.9131403373523
22,1.1154122795768255
23,1.024181842298096
24,-10.4681117292967
25,7.007777715895002
26,-20.108803249948206
27,-2.790288091198474
28,-8.764350199660006
29,-7.5599526207072
30,-3.873622737386266
31,-4.210850695043591
32,10.221470369615245
33,-18.019838389350518
34,9.780927914013503
35,37.83113482776675
36,-15.74915003620268
37,-15.20437835288312
38,2.4490787893978925
39,-11.653887901857333
40,-12.083730704937068
41,-7.890408615374155
42,20.483768514711898
43,9.154837941801237
44,-3.44142664513806
45,-23.074415595520428
46,-4.919458563969037
47,-0.0017116700649449095
48,-9.089978049035981
49,16.749387189799826
50,-19.84927797830475
51,-5.268810570551668
52,-15.950852481565962
53,-6.084390129995005
54,-12.822450756486443
55,-17.271356088767302
0,-11.971382668384143
1,-2.9257914649052617
2,-30.25025054941782
3,-19.816019339992227
4,-9.967905043595238
5,2.150185815076434
6,-13.304506486141085
7,-20.262669472180683
8,-25.27828144138767
9,-6.012762191352926
10,-15.390885058271424
11,10.772370791932593
12,-28.751442818651817
13,-1.9988001061695586
14,-22.999794029803724
15,-13.533658602682408
16,21.21151422013807
17,6.41437648280569
18,-24.165579791062754
19,-15.591290763141942
20,-22.044890089192553
21,-17.66323508592096
22,-24.38859464998839
23,-16.429074018257474
24,-3.480015367232328
25,-14.188297857092248
26,-3.340509743389298
27,-21.163168892396946
28,-28.637459005646328
29,-8.019567682519362
30,0.19575534477351356
31,-2.1080666101624956
32,-17.251269860531057
33,-11.315763054477026
34,-17.73126099477749
35,-9.433445913802846
36,-2.2362478249407207
37,-9.461755452220032
38,-13.196583318454536
39,0.32131468843646027
40,-6.826711064099475
41,-17.4213763178462
42,-13.377073868367816
43,22.794310249688962
44,-14.070641580272218
45,6.689569368568804
46,24.807559826614227
47,-6.355011237246799
48,-11.81466940478357
49,18.485426001764914
50,-15.838361693770116
0,-4.2514178757693495
1,6.670775569705969
2,-5.376210428694369
3,3.479791417484692
4,-9.900849855526417
5,-22.2556787204336
6,-2.2395804674977016
7,-7.117297988992437
8,-2.35620619509152
9,-7.858873418574595
10,-13.457577242458203
11,-12.400810338597527
12,-19.808957975166035
13,-14.510064079154008
14,14.20662914049705
15,11.264230343539023
16,-7.627249604988703
17,-6.160008215615341
18,-16.924622762642333
19,-14.765200680382724
20,-3.190482747130987
21,8.77310370819531
22,1.3388661125447576
23,-20.385798043716836
24,-15.465040870873043
25,0.2558204601241539
26,-14.324734581479724
27,-8.781731657908013
28,-13.629889697380154
29,-13.855742898459685
30,-12.926265708676809
31,1.543830998596007
32,-18.856378259194763
33,-3.6443919494545525
34,-13.931845356375385
35,-0.23799733862696232
36,-0.5079295265867735
37,-17.089533872965347
38,-4.863192440603589
39,-4.573240852432134
40,-8.99594234758815
41,-13.004395545844638
42,0.8777482975021017
43,-5.433228855958009
44,-16.151572027241677
45,31.96305237003945
46,7.857502302884477
47,1.9453672260737336
48,-5.6153215694582705
49,-12.428898916727602
0,2.162635112225154
1,-11.853976384430037
2,0.40668418879421764
3,-3.0537769073962164
4,-12.381946669205567
5,-12.312635092974018
6,-20.382822118284828
7,-14.319667307718634
8,-18.03428164951863
9,-12.04442582731286
10,-13.415753380553575
11,6.415973313621414
12,-7.889167784972765
13,10.02843930021492
14,-5.8266451004781095
15,-14.05450032157221
16,-14.292831691026857
17,-11.919161670734566
18,-9.052789219489279
19,-3.764645590326805
20,-25.63158033843907
21,-20.201404819570396
22,-21.366254471367874
23,-6.754705537989933
24,-2.9040191291191464
25,-7.79244359014639
26,2.269699276672791
27,-11.652098880457178
28,-27.24219036946233
29,-23.72918764567997
30,12.842467446520327
31,-8.031579492831202
32,-7.998578076540141
33,-14.374506343993609
34,-13.509519244762439
35,-6.160073072623993
36,-2.8840907620144827
37,-2.198714078706211
38,-16.728394737578846
39,-17.215359702227317
40,-14.24342561253924
41,-9.508642459089678
42,-22.87522217845092
43,-5.067492337233285
44,-13.58720650287045
45,-6.364268361203075
46,5.713385572055547
47,-23.014674567593357
48,-6.944928035866758
49,-17.51600285408254
