number,tpara_masked
0,-14.98601815481177
1,-3.70070401976995
2,-10.736017625529508
3,-16.838363450233373
4,-19.162196988670782
5,-23.34055235703797
6,-3.3988893556448194
7,-10.472935719639684
8,14.253585034238208
9,-10.116654544213414
10,-14.91412660925562
11,-16.76580691562574
12,5.434275086220927
13,-5.163600178548222
14,-35.50212989959316
15,-24.980183800001516
16,-3.3066392290947975
17,-10.626190850694506
18,-3.7861969480622473
19,-5.477451499776484
20,5.327220485974572
21,13.264396175019197
22,-31.17593559901858
23,-30.789145518560368
24,3.925643691597241
25,-12.560518945924233
26,-22.64747597754043
27,-24.290910671551398
28,-3.2060404780370138
29,-4.29895870802789
30,-18.376018983998517
31,-19.544807830445478
32,-7.779733834922809
33,-29.25114249781776
34,-10.933292426468848
35,-18.722767518081834
36,19.74620993728928
37,-19.990251240010874
38,-26.34774828733397
39,-6.982472137274777
40,-9.361664186573966
41,-1.981417025515636
42,22.893587975482255
43,-18.486352217905736
44,-22.904474311265705
45,4.727675988963004
46,-10.886287924449787
47,-27.121601533508507
48,-10.230480427253497
49,7.895326458790602
50,-8.878708257498145
0,-11.269160089039726
1,-30.124956653912154
2,-4.2353622268602
3,-20.64251049797387
4,19.834092632977885
5,-9.51728373739987
6,11.013487686284405
7,-5.08195754663395
8,8.243580288268422
9,-27.519660913040884
10,-19.726445207189784
11,-22.613315875632775
12,-2.9217257763786755
13,-9.030103429205935
14,-18.756571095303165
15,-7.1457345129921634
16,-15.281665026734004
17,-16.37337121391309
18,-6.542845300611728
19,6.652265214235341
20,1.650751771325392
21,8.372268631953418
22,-18.784428599261105
23,1.7568123760685554
24,-21.69092271550907
25,6.254840035789676
26,-11.056689378631368
27,-13.432497645787183
28,-6.183969948706882
29,9.337403588352247
30,-1.9095694605810978
31,-17.005750367153166
32,-13.096795555463578
33,-12.402254440966074
34,-15.023758668735667
35,-12.54815458601794
36,37.05698112859639
37,6.8181024850646725
38,3.9947561308256114
39,-11.779451519385493
40,-17.88928305761988
41,-15.444601119006686
42,-13.266009655972983
43,-11.943081061893679
44,-9.918082102267078
45,5.123968980965306
46,-2.7323472210719992
47,8.412744237783363
48,-2.9421345357525133
49,-33.44203969376144
50,1.3204562305308483
51,-9.375136436802949
52,5.7314899377165
53,-16.166658348322947
54,4.141958356049556
55,9.097157524075152
56,2.835872865918848
57,2.2742833029178025
58,0.9582840572915546
59,-9.734087152373721
60,-10.159768615785541
61,-5.807845122360629
0,-18.335717994786037
1,-15.477597420006834
2,-20.620874592067498
3,-30.119480180069836
4,5.3919974460667515
5,-5.181615026433267
6,6.397483123995092
7,-0.6895955569537666
8,-25.860008842452466
9,-12.857076525405219
10,9.937077783838
11,39.99951262459136
12,-3.424201824802568
13,-11.19510847679016
14,-21.627141803845817
15,-18.457002902828716
16,-17.526795469772573
17,-26.553851108069978
18,20.222196200039537
19,-0.88713843777239
20,10.730961813957645
21,-21.259689775534852
22,3.284716285634204
23,-16.903123562567796
24,-13.724613836529896
25,-16.93720883445672
26,30.628307159632726
27,-22.299645428979094
28,30.478258913212304
29,6.213279751439887
30,-9.902194556666979
31,-4.953424826857776
32,7.526852022642239
33,-8.52592506817018
34,31.785354761066426
35,-24.584314751842207
36,18.414831023013303
37,-17.47012296012447
38,-23.851253622019104
39,-18.841558800078122
40,2.9183176290340875
41,-14.197667610460488
42,-5.928321734750676
43,-2.835432218893806
44,-8.662561488866535
45,-4.656285644462817
46,-26.327209260064897
47,18.906068311884557
48,-4.4480567061731975
49,-10.218903791307335
50,-6.305436702152495
0,14.71130378812487
1,6.158198078143329
2,-9.453217307954354
3,-11.606664438199331
4,10.367268521931868
5,-3.6913269446042154
6,0.6667936881655914
7,-9.159052794218937
8,-13.868975850477796
9,3.9882587134067014
10,-25.54852224741684
11,-12.805606314349028
12,-2.9813468173224407
13,-27.35312572098457
14,-6.982136798604364
15,-5.05612141241427
16,-22.084420123253462
17,-28.27613279965391
18,-11.837029213849583
19,-20.75124885333087
20,-16.096645086961633
21,-4.291412234211675
22,-14.691398423484339
23,-23.982931227135076
24,-2.979108271677294
25,-8.016087958602943
26,-31.2461662662263
27,-5.434986863277974
28,-5.4334414096363695
29,-12.92949025794638
30,1.8844779903215425
31,-2.82257317420055
32,4.5554965007651065
33,-20.294153172025393
34,-17.525302240281906
35,-21.21300067874859
36,-10.620690119465968
37,-21.81842413308112
38,-3.1927842577180363
39,-0.47162586034075016
40,-32.24022061493809
41,-8.318517448202556
42,-18.37683245304373
43,-3.4911264479298154
44,-16.864688639175693
45,-11.328890109598946
46,20.0339813064924
47,-17.326998741968364
48,-5.200754542084635
49,14.141231998474368
0,-17.047953851317345
1,-29.447755217009643
2,-8.982820483499017
3,-7.979975144382461
4,-8.025654585846414
5,-29.385919174056916
6,-6.602817679526554
7,-22.7278918556944
8,-38.4006367229153
9,-15.930317270626857
10,11.04984313789655
11,-29.276391371180218
12,-16.136022034713488
13,-26.823739508833697
14,-7.047951986965333
15,-13.600050750757948
16,-12.694997303262943
17,-22.53422337197522
18,-35.6755259567354
19,-33.40256624924839
20,-16.746869692971543
21,-14.680267349520552
22,-16.941849559298166
23,-0.4044184187534938
24,-7.496463493418382
25,-31.236404664329125
26,-17.080967459460876
27,-9.468020690424813
28,-25.35691841782435
29,-19.9424325179424
30,-18.99153134680513
31,-29.488947367194307
32,-26.3369340869346
33,-6.102817019392069
34,-14.15611498849994
35,-27.443355682758394
36,-13.280039948209636
37,15.09626451500089
38,-3.515878337850213
39,-30.639217812261027
40,-36.4052075053757
41,-13.310882063984526
42,-27.210562494205266
43,-23.858498001806517
44,-6.769735375981392
45,-23.171207130060857
46,3.8275358961293975
47,-24.924286099582538
