number,tpara_masked
0,-0.2096266863797307
1,-32.17549012409411
2,-22.857345053732086
3,-17.055972042120022
4,-22.87368043122721
5,-5.266421965188783
6,-39.37452911865572
7,-36.622758159410296
8,-30.69541065769954
9,-6.104663441419689
10,-3.8686422954015143
11,-12.995402679886563
12,-48.24803549278538
13,-38.74926572204156
14,-6.117183204423782
15,-12.330164148958525
16,-0.4469503285993905
17,-39.377058650795036
18,-26.94749667853102
19,-10.851763931896128
20,5.3146133420038195
21,-3.74691448238688
22,6.297436054107189
23,-31.34778362815875
24,-27.752783182677376
25,-41.78171053581537
26,-18.93266225276117
27,-2.603250948141067
28,-11.061234298873995
29,-7.515919738428542
30,-31.19414534088112
31,-5.92009522885443
32,4.389368276254876
33,-17.11538999416007
34,-27.552916985011205
35,-11.649094725877754
36,-24.113504082379222
37,-41.65894769888231
38,-7.895484562444228
39,-12.23144607820359
40,14.561294392478887
41,4.072605956177237
42,-25.753815672639274
43,-18.935149152336333
44,-50.89388584641105
45,-7.837179794023541
46,-23.08872382172922
47,30.17614602640606
48,-26.62072044283074
49,20.4063136758729
50,-13.437125782426545
0,-15.00792512487692
1,-29.75694298375705
2,1.2322158848832017
3,6.43626840712841
4,0.4981390855363094
5,-5.18467158094893
6,6.283215614466542
7,2.0365622521723044
8,-7.093927704519368
9,-19.707673493130073
10,2.9488175234959604
11,-3.1774465651205714
12,-21.589836215104206
13,-5.482648335330965
14,-15.069840153536514
15,-0.05025483732860445
16,11.124172879147425
17,-22.08671179282362
18,2.7120363362461335
19,-13.008890372330958
20,-35.54283367623867
21,-44.64654101976607
22,25.635289409760755
23,0.4673892754307007
24,-12.153548463918657
25,12.808482570865937
26,-14.018782875287645
27,-16.5315101607888
28,-13.999869337884737
29,-45.24489390552351
30,-2.982424418540574
31,11.548662507780232
32,-15.181029692593977
33,5.831042500699842
34,6.075224286602085
35,-12.622457153573427
36,-16.480656950257355
37,11.265793076198351
38,-17.182091786397773
39,-4.005629716807846
40,7.340972348520344
41,-7.6518179200254135
42,5.653731594001952
43,15.413279171501888
44,21.458724315988793
45,-17.281658252580694
46,23.854501189172574
47,-6.550953631408636
48,2.6272528597104383
49,-10.149894110374667
50,16.353184177179497
51,21.101519531718797
52,28.10182542223316
53,2.106912311283793
54,34.62953409213062
55,-19.743929232281708
56,21.282060595299395
57,16.154908151951492
58,13.509271516258064
59,15.729398302373927
60,-7.067682624336176
61,-6.488496517853549
0,-20.92046239946891
1,-28.44897532365091
2,-13.53750652318316
3,-20.6522277797679
4,-32.1202075307762
5,-29.641834468444966
6,-22.3399752030673
7,-19.21043235597608
8,-17.88201113110214
9,-20.739131893302936
10,-9.313149954929639
11,-14.181049815912653
12,-24.637699880258882
13,-33.259387540359356
14,-21.42000236441769
15,-20.965273961337516
16,-25.599338944933454
17,-15.009220533102056
18,-17.04239593891543
19,-4.785268477765689
20,-0.5923178984327637
21,-25.505878890423144
22,-13.931630367854574
23,-20.95272103967242
24,4.444927981239745
25,-23.34583844761558
26,-4.79292339150561
27,1.7786211022515395
28,-14.949724421361076
29,-1.3903142341102162
30,-19.908820074003113
31,-15.480604057908447
32,-12.461877455886375
33,-10.11360003152125
34,-11.015714562745416
35,-6.777459778580426
36,-14.234710003317257
37,-6.086168014007853
38,-0.6197448480331037
39,-6.719223695957529
40,-18.060840526838245
41,-8.656106350220702
42,-14.360021320195909
43,-9.219869904579053
44,-5.089437612089871
45,-25.839132907397772
46,-1.475247775791407
47,-6.110705423149435
48,-7.188873496488668
49,-11.046646856508838
50,-4.427676003615488
0,-2.400747600717068
1,-18.306225942528915
2,2.475494920162191
3,-2.053032817824393
4,-16.39302819415415
5,7.5263587399436
6,9.656238290448961
7,18.60875886716684
8,-14.629077134860797
9,7.773115077528795
10,-9.157186564578979
11,8.445015834783002
12,-2.9176250304630003
13,-11.613965900103551
14,-5.476238388683422
15,-2.644462352800285
16,-2.470703641677119
17,15.171471671552673
18,-10.3506993716825
19,-5.470400947042246
20,-16.153733091902232
21,11.256470959046066
22,-30.790718604419475
23,-17.38339820237892
24,-0.5485459123969828
25,10.402708176352842
26,3.301798131201868
27,9.227890451768417
28,9.779499099416
29,13.125956876969271
30,1.653895261484923
31,-19.6373166246507
32,-5.55392243306585
33,60.43533625395743
34,-29.466441916111325
35,-10.675912524386414
36,9.241813943757412
37,-18.065494951831813
38,-34.651296831889056
39,-5.076055834922025
40,-12.294423553290319
41,-23.231054635530764
