number,tpara_masked
0,-10.632311928237044
1,-17.629882778338573
2,-8.138873555354722
3,-13.064721402077424
4,-19.949766824755077
5,-12.595942929952539
6,-13.40588892523397
7,-13.83349688203741
8,-9.40259280382417
9,-18.168612039892377
10,-15.95297467319474
11,-11.569029213985361
12,-19.63778993105359
13,-22.272857020450626
14,-13.543584798984709
15,-7.697234477312859
16,-6.615514682798964
17,1.5970052060318216
18,-17.304145626800914
19,-13.093607242534212
20,-3.5524494922442713
21,-20.013386520509982
22,-15.721907438712641
23,-9.197272209435358
24,-15.10244879278212
25,-9.500501893478306
26,-19.681657892169103
27,-19.17261533168448
28,-21.630844710469116
29,-22.103977929844632
30,-20.593668862616937
31,-24.52051996933444
32,-14.972879362464901
33,-22.807978800142696
34,-21.771523510295314
35,-17.574168468277165
36,-19.601686961409758
37,-15.379772494703676
38,-15.613897002843997
39,0.7011114200669532
40,19.35051953310788
41,-15.241129230638586
42,-13.376072296350252
43,-22.824247567075965
44,-8.626575291846022
45,-17.44381676424324
46,-13.50996038285851
47,-7.427833845704011
48,-15.599606567342388
49,-15.505347727455609
50,-11.703458125021639
0,-19.070072914093856
1,-3.177979129941739
2,-21.560131356425572
3,-23.95985234554268
4,-30.680251941794452
5,-16.946760994859766
6,1.535060564023412
7,13.152053389222019
8,-31.496368645464592
9,-2.996925123586463
10,-30.372831989865745
11,15.66318868610111
12,-9.237993447457137
13,-20.389953124863712
14,-18.296455860783524
15,-37.59594964236612
16,-6.77844056158374
17,-21.63271024888069
18,-43.36698054208638
19,8.191893834174651
20,-1.4023017272952603
21,-30.311969047666423
22,-10.643323138522769
23,-10.239504327328646
24,-4.187578712712965
25,-12.684110368734453
26,-7.78987675352659
27,-3.2460646375439532
28,15.929785442764684
29,-4.347509495968126
30,-29.40365215224682
31,-33.821734895637306
32,-13.210545760662246
33,-4.892893517510149
34,-14.15298419835781
35,-31.614994259910652
36,-13.205762141658688
37,25.363657956275468
38,-8.347851454185196
39,5.234540188957402
40,-23.089438066618197
41,-22.497789668619365
42,-38.64758934044165
43,-25.817626157577575
44,-8.391730408975814
45,-35.262654950515966
46,3.402339173712718
47,20.35969162855667
48,-17.22873495368045
49,-10.350588551334893
50,-21.978841254219823
51,-10.574636238263539
52,-26.86957927830953
53,-2.8432166589352295
54,-15.721927646886401
55,-8.163578525699313
0,-5.73723405573724
1,-12.85664128527204
2,-10.626409596351015
3,-9.07549989163286
4,-10.079088316694925
5,-11.834134648591911
6,-12.258850087424173
7,-8.298564584009231
8,-10.324705300941817
9,-12.603299190174317
10,-4.11162000813102
11,-9.162595738921986
12,-7.360420799130456
13,-1.7951785074339048
14,-10.065552184338838
15,-9.95921890000953
16,-12.822022921364617
17,-7.609714379618204
18,-5.816078223616055
19,-11.319677887802264
20,-6.184912070325697
21,-11.32353963117884
22,-11.184725836857169
23,-6.900213412293287
24,-10.73143584295712
25,-7.388775018279419
26,-11.219837926459842
27,-9.440394399187802
28,-10.478859600143982
29,-9.332928577408431
30,-10.30729244741942
31,-6.914583609036598
32,-7.943335623124204
33,-10.987617943534305
34,-12.494242113577442
35,-5.2714228100768885
36,-9.873595387496549
37,-14.365070008294886
38,-10.48334734294922
39,-11.884295988224155
40,-9.870944499169358
41,-12.559383588860138
42,-8.649571612742934
43,-6.669462515948533
44,-7.079238782482987
45,-5.026235489894466
46,-8.353267442125508
47,-10.340272999042462
48,-5.239777988569428
49,-10.262979663994406
50,-8.376814151681232
0,-5.0190489450608124
1,-9.422364735358869
2,-13.754642822952576
3,-14.436914270051586
4,-16.63336219799869
5,-15.427996020757892
6,-18.48476448309438
7,-9.810288200843127
8,-15.502439884882177
9,-20.45227698099254
10,-16.256837529764443
11,-14.201404150003867
12,-20.117207249596067
13,-13.560957464548325
14,-14.124321189178268
15,-21.027537699065793
16,-15.33361070708376
17,-21.10035439494866
18,-15.034174362581
19,-11.338142073890637
20,-17.686191124683983
21,-17.342124265729538
22,-13.758944837781605
23,-7.470989417236574
24,-16.65190486240438
25,-17.175871276223795
26,-19.466895952720034
27,-14.13624802682628
28,-16.71307171670201
29,-20.050363460538414
30,-20.493386055514453
31,-18.489606547057573
32,-9.965067230647643
33,-10.571535666612261
34,-12.73513358542672
35,-18.026245853327904
36,-19.556401281441875
37,-11.826540460879368
38,-19.446059433613797
39,-14.267561625269124
40,-19.655516421523085
41,-14.541346872300032
42,-19.005638609288532
43,-17.130081085536993
44,-16.980858984899736
45,-9.871144700224386
46,-16.946294822432822
47,-10.63376685189655
48,-18.528907965614533
49,-16.220356731840486
0,-25.27423132439103
1,-21.634436441966873
2,-32.44439559764379
3,-29.239596417464927
4,-32.43268035793072
5,-17.393780697242775
6,-34.00513025591109
7,-17.942521559516102
8,-15.912645691418083
9,-22.595199852947278
10,-23.381944868466984
11,-16.365320905133704
12,-24.584392556271776
13,-22.457912724544514
14,-14.743864592706553
15,-9.710869495476134
16,-27.463153737735116
17,0.14225486256330624
18,-13.932836395724735
19,-19.610082621590934
20,-11.341954448645149
21,-32.63644309019099
22,-30.666530566435767
23,-25.256007461055543
24,-24.171790021417408
25,-17.68237677338004
26,-13.218818308035996
27,-27.598796563102006
28,-27.031363001940786
