number,tpara_masked
0,-8.86087502208067
1,-10.158136579515743
2,-17.73505880284199
3,2.8526434858028393
4,-5.795422588389122
5,-7.494171739612255
6,-13.813406974169617
7,-10.093678623787936
8,-11.778138286899773
9,-11.324544045367343
10,-11.942506536422389
11,-5.110928755346409
12,-12.346512383893629
13,0.4254013494198534
14,-11.596647175518603
15,23.13098295619259
16,-0.9620909247406952
17,-6.94658230338338
18,-12.586086281122071
19,-6.696676077159022
20,-11.611909362799784
21,-16.21032504137099
22,-8.037706525751023
23,-6.198896453641947
24,-15.007111552034667
25,-11.152614357949156
26,-3.050435304705012
27,-10.478027881675635
28,-12.417828678562294
29,0.05889663924111966
30,-9.766971570137509
31,-7.863764400849865
32,-2.197968447107419
33,-13.779892274864585
34,-13.027261769503452
35,-16.857771221285
36,-12.648055171811144
37,-8.923827213688389
38,-10.336608854217165
39,-11.445125358203233
40,-11.560662223639648
41,-4.09229902028788
42,-11.435448262394248
43,-11.542504811557821
44,0.2189150138061483
45,-7.410901725095408
46,-15.140296945612624
47,-11.340357523583824
48,-13.793067316169434
49,-7.30227341028651
50,-16.11926603482783
0,-17.442149580039498
1,18.966089414329005
2,-3.5867335401552913
3,-10.153333104790184
4,-19.59499491766521
5,-21.19473899526044
6,-18.615021687764063
7,4.90734965044989
8,-9.39362746036537
9,-27.085918084085712
10,1.1252194802016184
11,-19.301531437693463
12,-22.369619838314755
13,-23.12305397596887
14,20.510004680156655
15,-2.9899021981354026
16,-20.16122186447655
17,7.679854810647605
18,1.894925709113941
19,-24.292004062608104
20,-21.332904207864676
21,-10.375888412306542
22,-10.421256069732754
23,-6.709111835402295
24,-16.411424228056692
25,-19.169137061455316
26,-10.73913032152112
27,5.281179526146872
28,-6.5691052653964075
29,9.234810337244335
30,-17.858169100812066
31,-13.50214609325511
32,23.55190659781354
33,-19.470193358807187
34,11.67204217440467
35,33.696355158004586
36,-3.068610119444635
37,8.859023000898755
38,31.33437801855576
39,8.750029235915326
40,-13.095913793956733
41,5.1858146644603735
42,1.9848192140994034
43,30.63912749614665
44,2.1794955907059
45,-10.77328427807999
46,-7.827681238994601
47,-1.174352444565326
48,12.338399852435739
49,0.5015589270186187
50,-12.313375524147178
51,2.0552800435103533
52,-17.65539656060712
53,0.11824746754954822
54,-2.8387777884999883
55,3.7434756698364673
56,12.153166487281387
57,-2.7343874663639363
58,-4.185912047318205
59,-7.805765662057623
60,5.499909212362004
61,5.9966017336895066
0,-3.842177871803638
1,-8.489388662946155
2,2.906001230128043
3,-1.4818689513569032
4,-6.417040923325759
5,-5.485614947824543
6,-3.825553968843971
7,-0.8067228832043752
8,-7.184967180653493
9,-7.909536706724866
10,0.2077921101498228
11,-7.918996895265688
12,-6.3753571931368835
13,-0.14389956598438047
14,-1.1642562582444893
15,-5.454057286226003
16,-7.024318114822058
17,-3.2650551215088592
18,-8.318385433027748
19,-3.301869987303184
20,-0.14533382469265246
21,-6.062395915784966
22,-2.070849238826047
23,-5.547378480384525
24,-8.550220865713312
25,-6.320885498257305
26,-4.5763385969621595
27,-4.069159778794976
28,-4.582033224800225
29,-5.269306249886987
30,-0.017682814648160617
31,-7.1165100197258795
32,-6.958353763380613
33,-5.815715688922431
34,0.9240615947910263
35,-6.485394142001741
36,-2.4869546140262315
37,3.141395241289588
38,-4.141544910193521
39,-9.092531082200049
40,-7.474491645726155
41,-6.691921801878683
42,-5.055048967776764
43,-7.347365941054053
44,-6.324245034539629
45,-2.409066678771365
46,-3.106074545362462
47,0.6697158073259902
48,2.314105145954286
49,-1.2599930270216502
50,-2.885879201217211
0,-11.273473859544554
1,-16.9424496076337
2,-11.2810736554694
3,-8.080511410608123
4,-11.387024777771815
5,-14.657627361593821
6,-7.5393137376883566
7,-11.530518440579165
8,-4.845716486974042
9,-7.52584462191855
10,-10.129141205512706
11,-11.383549690886896
12,-10.325368519275683
13,-12.416707535172526
14,-12.483817834148368
15,3.2753740798950406
16,-12.608398039206905
17,0.7837735117006901
18,-11.301128648056649
19,-9.076882072069985
20,-10.425904011728763
21,-9.453263909935888
22,-10.377297150688221
23,-6.637436039944705
24,-11.707098556892936
25,-8.00274029196255
26,-15.37106349645448
27,-5.178059347084428
28,-11.870817192719384
29,-12.107559306462877
30,-13.748169083594945
31,-11.60245431441534
32,-14.961332058963503
33,-7.947261202562437
34,-7.025345342507686
35,-4.930829583086521
36,-7.991406199215318
37,-5.824689612466732
38,-13.23004129107273
39,-12.122161797108111
40,-3.3693672557478385
41,-12.011328030957376
42,-11.539968808404314
43,-9.794853594163966
44,-10.374022848518434
45,-13.546651928603774
46,-9.75653020948664
47,-10.073250071816203
48,-7.366945589009924
49,-12.589477659305647
0,0.782533312928088
1,0.944873507125615
2,-17.560154893496858
3,-25.716980951122938
4,-11.638019532910445
5,-22.880163025582707
6,-13.448718247685875
7,10.622216999464069
8,-20.62677945765869
9,-24.65567700762938
10,-22.028300122261474
11,-20.263895052946303
12,-7.601830603446632
13,-22.28792691851375
14,-0.7087736760818117
15,-4.546699318981364
16,-8.061439160655937
17,-17.587560123610317
18,-15.828950847065022
19,-21.25114549237027
20,-13.673124277951887
21,-2.518817783624623
22,-18.464463293088418
23,-25.143080653115536
24,-11.20691691264187
25,-10.722362384217918
26,-5.935712904613772
27,-24.314320427942263
28,-18.568995475645593
29,-10.108988404744148
30,-14.309172589678706
31,-10.674268977711996
32,-13.915528688429163
33,-20.458187984601523
34,-17.82306281820448
35,-4.584005316426028
36,-12.958985297901773
37,-21.212261097548076
38,-9.742440186511113
39,1.8848169614125971
40,-20.902315603233916
41,-26.112961257868367
42,-6.545324496860377
43,-23.835469537433017
44,-23.53213140116579
45,-7.134830684640472
46,-27.358752534708525
47,-22.20061800427077
48,-28.280935694173394
49,-7.384870774860557
