number,tpara_masked
0,-34.347372682667036
1,-12.794034605408172
2,-39.01655847787172
3,-32.501115280562466
4,-29.511366190288552
5,-2.747042428920934
6,-20.28290661352609
7,-27.784056800117945
8,9.144442898374379
9,0.3699853921177606
10,-26.99846180365529
11,-29.85866474234542
12,-8.115189639620777
13,-19.317507461959465
14,-0.1605847635935923
15,12.043528840877116
16,-22.756717465165792
17,-13.966556438120918
18,-14.977775595912975
19,-12.297621028496739
20,-3.36429037714778
21,-31.853157148968116
22,-20.179542119607238
23,9.796034798152201
24,4.828061045608828
25,-26.568904508571404
26,-15.737487888987678
27,2.651408639967148
28,-2.0056168742249376
29,-22.83520138411809
30,-13.50824689965251
31,-16.746509101250446
32,-4.542898666302252
33,-23.945389144770427
34,7.0646853634604705
35,-10.739648183112473
36,-38.53650738434495
37,-26.78973908553383
38,-32.717349751220794
39,-1.7862581208410795
40,-30.43066743447088
41,-21.638083193533088
42,-32.44721929823518
43,-15.706373485752717
44,-16.46934269619696
45,3.4365299412726285
46,-13.127452836703958
47,3.532551107599391
48,-10.159921101957378
49,-22.348945936688256
50,0.597481175645953
0,-35.775554403701165
1,39.30925520892162
2,-11.326359636196115
3,-8.845305426379785
4,23.41410367647625
5,3.256602033308843
6,11.961554380735395
7,-16.77202811202329
8,16.650583627924537
9,-16.613342833114462
10,27.682782815035083
11,25.247681081610708
12,1.4968195571896104
13,5.230119744699853
14,-2.8132351756779723
15,-19.521797314483692
16,16.432908433182966
17,-1.1614839460586759
18,-16.26396278558778
19,-17.859670252983474
20,48.763112461516464
21,-0.8565404846299988
22,16.10517681356256
23,-7.083541884743157
24,-1.7983260641935213
25,7.116820712995934
26,8.306666728948905
27,-33.93906130618781
28,-17.4727398311242
29,12.468956599741853
30,-8.267224205627386
31,18.528272414273403
32,0.9708481919624825
33,4.165914165073277
34,26.436468290200906
35,9.369672544007951
36,-10.53555984840302
37,75.27812575760764
38,12.886668423719685
39,12.964419003356786
40,-15.090654553123134
41,17.43939353420703
42,22.949048455805716
43,0.5421539431385672
44,-0.5176799894107474
45,-8.085483492613497
46,-9.086818014086223
47,-9.095657823629018
48,28.474322323869796
49,10.539715108900847
50,35.49604853669018
51,-6.906545985324791
52,18.466259731218948
53,-6.484421921226368
54,-10.895501686055317
55,39.27783816711402
0,-13.392898970913073
1,-8.982199149074773
2,-11.899936048899285
3,-15.112123963734591
4,-13.247432451424645
5,-16.577077817432667
6,-1.4981293571946916
7,-6.372037778082475
8,-17.252139733264578
9,-13.539211825748984
10,-16.194523713811243
11,-18.159573334775843
12,-9.000822737343025
13,-7.1054252522891925
14,-20.74546888185001
15,-20.6240471285397
16,-20.79645321794453
17,-6.771672276415671
18,-14.951313931777369
19,-17.2266886187976
20,-13.037844450149418
21,-18.36109799182008
22,-12.023633644275833
23,-21.440089144393653
24,-15.410061375102185
25,-25.50655574816995
26,-24.36508726464968
27,-22.16692488824871
28,-16.117755623983815
29,-7.110783270844775
30,-31.766348827120428
31,-12.00763748514604
32,-19.542003176158886
33,-19.16831875119156
34,-19.6032930135617
35,-18.74871326503193
36,-8.92565047386732
37,-22.215852334705197
38,-24.129353396010295
39,-13.933326196517251
40,-13.437001042701821
41,-11.334066130075371
42,-8.314918465691369
43,-13.272247761725101
44,-20.94329450604467
45,22.008900183815665
46,-13.445199126888637
47,-2.8637251253476945
48,6.819559698838189
49,-16.559199509545042
50,-8.64307762808662
0,-20.888506299151555
1,-1.4150314500385421
2,-26.67855526618092
3,-16.412454868415168
4,-9.68616472626401
5,-12.890260809367897
6,-16.131136196354085
7,-16.66644534315798
8,-22.457203635789718
9,6.624014275363127
10,-2.2449233254233314
11,-27.037677874375277
12,-13.649230190537764
13,-3.5410572910113505
14,-7.857746552196607
15,-1.5194526460083613
16,-11.277096392505982
17,-3.321180795399801
18,-20.997173958384696
