number,tpara_masked
0,-0.5903104836222527
1,2.2978678383946383
2,14.57342940974976
3,-12.916296378130532
4,-7.521687503295079
5,-8.004829194558424
6,9.864360587622892
7,8.162321781431578
8,-16.619497745085503
9,-28.60398311626071
10,-11.935096861432408
11,0.8571987564209854
12,2.9139999713623657
13,-14.356375972797483
14,-4.5216897551317405
15,8.246089506698167
16,-22.725493585716723
17,-5.808201590466693
18,-22.958772660786053
19,-11.550513237226468
20,-9.405255241290433
21,-19.687324429132453
22,-7.678735343048445
23,-8.176163680252136
24,-1.20359623502332
25,-3.4349930636515777
26,-3.9383836439002256
27,-8.134051128123517
28,-18.784351983345847
29,-29.153221071788312
30,8.575958182282866
31,7.767503710190929
32,12.676703472944038
33,-11.623801246632528
34,4.807599520130747
35,-9.35606042023412
36,12.89572537643835
37,-5.796190786592585
38,10.570646382903861
39,-10.76080656679955
40,-44.820572603149
41,-7.291301126652225
42,-21.028894378913616
43,16.52684928827781
44,1.5870808864646178
45,-13.52464096271433
46,-1.2161102084199362
47,-3.6188941555371485
48,2.5821459867411587
49,-0.2519889811217718
50,6.108856959380554
0,1.174913368242027
1,-12.474565578044247
2,-20.475086580939173
3,2.0375258681905573
4,3.5872410556428935
5,21.427806228968144
6,-19.273928198304944
7,0.6644253871370522
8,-39.27027697264512
9,8.793612159428852
10,-10.513565886195986
11,23.40914145654088
12,24.338830703938026
13,28.777332056401306
14,32.54244465669789
15,33.787201513956894
16,25.420777713289105
17,-9.167559485208418
18,3.1607367587424857
19,18.416963131494832
20,26.50188355188574
21,-20.51689938929889
22,35.64029236344966
23,3.1241951577216986
24,-16.923706682961086
25,24.391739722668042
26,-10.244115810775368
27,26.220865215712497
28,22.902769853456245
29,5.13719062351154
30,43.900385746395735
31,16.79231867960332
32,-2.1043685970733312
33,19.75661751069319
34,-1.5537538992041982
35,41.997733192368344
36,42.94012875313321
37,12.707192894631
38,25.635774622453823
39,28.086489052199155
40,-3.3304843656596694
41,43.50390474198943
42,-10.851326191517208
43,14.457398833656043
44,-4.567881842324033
45,3.4212026462838634
46,-6.8107705812563095
47,3.940283753599437
48,28.74842020406521
49,2.0233965285169857
50,7.446336584375028
51,-3.215242656480128
52,16.62943063909897
53,75.52788251609223
54,24.66716052817185
55,50.05335346197626
56,9.97144677938877
57,48.67389230761781
58,6.857812589405259
59,37.38483685585455
60,1.8525656399872414
61,6.366034284084249
0,-8.58937112382221
1,-6.049931387139992
2,-1.5041905498947017
3,-5.894043574193752
4,11.657145175073916
5,-15.946690618201737
6,-13.155636645899868
7,-19.44164085688061
8,0.3968239070673005
9,-14.019395553919756
10,-16.294742871886463
11,-1.213609097990061
12,-6.930720162388212
13,-7.286250483620853
14,-8.209240234093699
15,-12.099557504067585
16,-24.94899338974695
17,-7.286629439746591
18,-0.6719439490418019
19,-9.619590720696443
20,-13.644628998682254
21,11.95197093558683
22,5.701127537139217
23,-9.872935522623635
24,2.0849766028900545
25,-10.778596451591174
26,-16.48911578471328
27,-12.820847856615995
28,-2.213023772465358
29,5.51131894031574
30,-9.421030342680211
31,-8.335921056304532
32,2.2968151824898086
33,-6.390280304913176
34,-15.692693169613552
35,7.597257670702809
36,-6.830648376139665
37,-14.224221339881534
38,-11.772741530606897
39,-5.597384087094624
40,-12.955465704349248
41,-6.32075027708736
42,-4.248832923352623
43,-19.648251947256973
44,-5.293393904274261
45,-3.384878221334441
46,-11.384077812113834
47,-6.940935135288682
48,-1.2901708672601402
49,-2.1763366088702307
50,-4.0771868515110805
0,-9.640218253300267
1,0.7581332763219575
2,-3.5322943911406006
3,-19.784168410526323
4,-34.52375853509305
5,12.234613602059966
6,-25.86871809766249
7,-20.159794196146134
8,-14.430605615805906
9,-31.590558152922096
10,-27.15125224239256
11,-7.555399137602225
12,-15.629389338300825
13,-15.549472425707084
14,19.967416789959906
