number,tpara_masked
0,22.596831665093003
1,-38.47553544902541
2,13.459119448574107
3,-6.840492814161633
4,-15.073592546994202
5,15.048613022372592
6,-20.84987550511465
7,-32.135177876726736
8,-13.921269075783334
9,18.965377219299423
10,16.388001869118956
11,14.264394899833457
12,-34.09423420129719
13,-28.94813633247395
14,4.043000798345829
15,2.0960315952025765
16,6.18364184548328
17,-10.72476152330637
18,-12.00923962743319
19,-11.890777942527267
20,38.85564739094763
21,9.45400163093129
22,20.464186592208634
23,-10.733237508652058
24,-18.834877361465868
25,-24.751936204362817
26,-6.266475338634336
27,-17.399581035230465
28,-1.2077647524064459
29,8.434868606046722
30,-11.829027041838144
31,-2.359715583427007
32,-5.029019373776262
33,3.0364617487066425
34,-12.048442638640859
35,17.994289515223098
36,-21.20308787804485
37,-15.447634874969179
38,2.480331002314213
39,-18.713504030327183
40,14.941930557041712
41,36.996962333230634
42,7.594318655416524
43,-13.731885751945407
44,-52.308071947967015
45,3.5166181078238883
46,-26.233837818128652
47,37.21484315772411
48,-6.775969217819188
49,22.310694526418555
50,-10.074870715470752
0,20.66806725764536
1,15.177339483961479
2,19.50791775031904
3,24.397475447320478
4,10.557548810494508
5,-26.549310207081408
6,33.12561553454114
7,32.08794632472392
8,15.719315034819676
9,11.027579244821736
10,56.77147897466107
11,-2.2385281776375145
12,6.37712756675531
13,-17.102991319480527
14,10.801518395769312
15,10.277142593729927
16,28.485908052131336
17,-28.075565082651284
18,-11.525415979621002
19,-4.282433272193329
20,-17.079471466748448
21,4.453099124014494
22,17.516548507974978
23,-0.17754114228157233
24,25.805712332448312
25,3.3463616075677134
26,-18.462871626607264
27,17.443502247576564
28,4.059784113823954
29,-12.5386732108268
30,5.638744187624272
31,47.636118950657014
32,-19.420989557280183
33,-8.702176954342475
34,14.349616606068594
35,-25.706767677509863
36,1.8077864143922142
37,-9.288634947621532
38,-24.29659081334042
39,27.78464776772201
40,3.5069530489472016
41,-1.5436102766367792
42,51.413599007806475
43,8.187236765088024
44,44.25795581871247
45,-7.784442423997007
46,33.19643957253346
47,-10.383268664624111
48,17.156334229816313
49,-8.473717036691951
50,9.286385981176357
51,33.29426334630625
52,42.28430672270633
53,-7.598545989948333
54,18.68696417359514
55,6.329665877855304
56,30.878977301066847
57,-27.97101562713856
58,15.206187025600887
59,-7.039064245064867
60,-20.131726211995254
61,-1.6967469404802518
0,-7.40487217222431
1,-2.4016281309337093
2,-12.585019248945173
3,-13.681238265740427
4,-25.243429667575075
5,-14.090125609477075
6,-9.90877424555947
7,-6.233916691497952
8,0.250496315048723
9,3.835686533825032
10,-13.669680103905398
11,-5.502802954045669
12,-29.850475079405847
13,-37.39480310590201
14,-14.161596734791397
15,-12.478715739740034
16,-18.603600437927525
17,0.8692306134131891
18,-28.388146549534415
19,2.6227806099793973
20,9.033335067619594
21,-17.2929238336413
22,-3.412430436987456
23,-13.484421085902591
24,-2.7255092997317356
25,-17.750008080636487
26,3.4062660840087724
27,4.867123000925251
28,-7.055215670940622
29,2.005688454826466
30,-7.702472733702356
31,7.709906589702262
32,0.8755528647775961
33,12.83047544752157
34,-11.752964231466953
35,-10.899801357785085
36,-3.4467385982376673
37,-0.8180841683093201
38,-2.5819607193019087
39,-3.166203694288722
40,-1.6814535936444168
41,15.120292573556071
42,1.1357630885160892
43,-12.214160152426402
44,16.676444324224978
45,-10.443626605491673
46,-3.091347227584467
47,1.9844416480433815
48,-11.024080019221097
49,-9.29248421420602
50,-17.37105195489777
0,-4.8203668710932055
1,-14.555980124934345
2,19.121890836181084
3,-0.8157265480374715
4,-20.15041052535101
5,-3.742871888966369
6,13.059306919811002
7,20.01846412093123
8,13.27784331866471
9,13.398238765363303
10,-4.415508354011561
11,-8.229663962645697
12,8.589832055526534
13,9.310156398909283
14,7.382841005210139
15,11.905156169531338
16,-6.831098748389447
17,-2.0929490239672712
18,-10.141191392815722
19,-23.233007419144595
