number,tpara_masked
0,-33.282319980080786
1,-24.086830488534087
2,-9.586421713590555
3,-43.633044589071126
4,5.028526550357503
5,-5.333133469234566
6,19.953503693065457
7,-41.22978992430916
8,4.485641493519079
9,-14.439768305930471
10,-7.293781635102249
11,-15.183800116343292
12,-28.902883016035915
13,-4.688579987747029
14,-26.403015472025135
15,5.666079809926154
16,0.21393002642735315
17,-39.131671634268486
18,-21.07466091021908
19,-20.73181785962088
20,-17.014048847750743
21,-31.141316308022063
22,-16.47621184741775
23,-22.887315881667924
24,-45.98382384568731
25,-18.06961787253155
26,6.413962175487078
27,-13.953106894231972
28,-5.812423642921549
29,11.019387910790911
30,-36.10217906916949
31,-11.618452942587151
32,-8.35683802087881
33,-24.099381154507956
34,-4.661279717765865
35,-5.711852115801157
36,5.668171106374337
37,-1.016814444988591
38,-28.405306404729053
39,-0.07037585188328876
40,-14.951093625934424
41,-20.3589720404991
42,-11.309042574361053
43,-5.269370852883662
44,-25.14758227970026
45,-18.699278739188145
46,-7.332155995581637
47,-8.8679913669838
48,10.726609566012892
49,6.861874060141705
50,-9.81813335394171
0,-32.48391796256601
1,-27.509024713183514
2,15.199924519038179
3,-41.53388538493833
4,-16.062393490763892
5,-28.880904625147366
6,-14.39744245657952
7,-26.512758350654458
8,-25.51948327435646
9,-15.527172299939938
10,0.9674665329884741
11,41.49984465984951
12,-20.262713571226083
13,33.29012981469402
14,-32.62740938941943
15,3.3922958283686255
16,-13.918866599681675
17,-39.29515302213116
18,-13.564134769175839
19,-32.56587019522039
20,3.571669676066197
21,-6.461374746710669
22,-29.42250164141212
23,-15.77145863501573
24,-27.22393618755731
25,-14.987790803858722
26,-17.038270616609452
27,-0.8659205839140193
28,-28.341397828238236
29,4.1207661762572325
30,-21.48033503026508
31,10.692740854297638
32,-9.972112219578495
33,-21.799856298967832
34,-3.027047057457821
35,-13.693392354410673
36,-11.271424580984656
37,-9.862757883762614
38,6.844697032087811
39,9.620111009035604
40,-27.680135094074323
41,-9.236866323666012
42,-2.619894842164214
43,10.977158775611024
44,-13.5200949836009
45,-26.444884986582498
46,-15.132242365681911
47,-23.358072064909376
48,-5.779698381972471
49,-12.843281717146558
50,0.16770027765045237
51,27.395726798923242
52,-10.089935972449181
53,90.52048535925412
54,18.6028747298977
55,-17.592657086321115
0,21.87409466257252
1,-25.55658782165708
2,-13.202761945447287
3,-18.5225606704383
4,-6.650909004487663
5,-12.19825446155266
6,17.48620084144354
7,17.839199374845652
8,-10.788211230170594
9,-23.307897721217216
10,-14.70627759252758
11,21.64108392453128
12,-22.317340875498115
13,51.883945876137915
14,-3.09330877667341
15,1.697776858077665
16,26.16008573784798
17,1.3486590158584197
18,-11.096947688086416
19,-22.558974489497597
20,-4.259111175910914
21,-15.290603216040866
22,-11.704097117231754
23,37.386446581963575
24,-22.469315274700797
25,-16.683257955365765
26,45.048554352794625
27,23.00301831484022
28,8.742357035121783
29,8.38503587551208
30,35.22162831445928
31,15.31063086683086
32,-13.468960578248941
33,9.882803119075515
34,0.7269639874201471
35,-32.716339261703915
36,30.45654466404812
37,7.869559903199495
38,-19.75036714914798
39,-13.025503954445917
40,52.224834415403805
41,6.824980876748062
42,-27.470887758566295
43,-2.7963028154021785
44,-15.33858032474647
45,33.8887336929763
46,1.4812987126153165
47,-4.900127553102923
48,12.407408287380969
49,4.296588673559387
50,12.774098686061315
0,-18.760348680531923
1,-21.96057820952776
2,-6.091605488816889
3,8.459594561368737
4,-27.6289757562853
5,-23.486629916398833
6,-12.926133780275622
7,-7.954409000260078
8,-15.578168864230578
9,-18.073715783959727
10,-4.417232220916164
11,17.352395001666757
12,-23.575738243465143
13,7.726408905265695
14,-0.3463781388696981
15,12.62963340540606
16,-6.725523742861443
17,-21.872846867759723
18,0.19216386224767382
19,-6.935888843861629
20,2.7087237088250857
21,35.27359913575656
22,-5.625468562228101
23,-18.97117677202461
24,1.9371455860911582
25,10.434183694135823
26,-2.084592491569996
27,-11.266817637586461
28,-21.339412700375046
29,-2.1609744145787353
30,-8.005441944620753
31,-6.008463425565146
32,-33.07589905034886
33,-20.50925899939084
34,-12.020271578799722
35,-9.08923761370389
36,17.463856258821973
37,-24.758955739228
38,1.9978344396809873
39,-20.04611023913019
40,4.55853768278032
41,-21.87636126006423
42,4.793590891423383
43,-5.115231668222505
44,8.144903876570645
45,18.98366286742737
46,22.083567372649643
47,-3.3984606691405355
48,-14.46235302239078
49,-19.80431023406752
0,17.99735549866906
1,-6.789018693252404
2,-4.289794260907839
3,-30.920936641478196
4,-22.616785539272072
5,-4.294086264697251
6,-16.091049751197254
7,-12.362292090183058
8,3.1806207840329788
9,-12.081861036848286
10,11.39711694473285
11,6.411276796231254
12,20.703381531901535
13,12.54245523243627
14,-9.992595610928415
15,-2.503032642529152
16,-31.095894960915285
17,-0.7137723132121296
18,-0.5920221364288099
19,-3.5750879759245353
20,-22.666761011357217
21,-33.060033013821936
22,-1.4794525435423198
23,-25.761114586141087
24,-27.593011338245518
25,-26.45062681053002
26,-24.208210974443368
27,-15.759471650066113
28,-46.46014209402299
29,-18.40911620673877
30,3.525858187424817
31,-18.071413877851313
32,-47.19518472818942
33,-15.169713706703147
34,-2.1582746863071094
35,-10.42342920547818
36,23.70842709737305
37,-25.56451300245089
38,1.3262232892133043
39,-4.2270715661449305
40,-8.179704524295738
41,-23.526052812387086
42,-42.00222279470903
43,-21.89871459406285
44,-8.362341918745374
45,10.434785960168284
46,-7.039882485073242
47,-27.468407225679613
48,-19.003613421510916
49,-32.30879591378139
